cityName,prov,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
达州,四川省,1,1,1,3,3,4,6,8,9,9,11,13,17,20,23,25,25,28,30,33,36,36,36,36,38,39,40,40,41,41,41,41,42,42,42,42,42
德阳,四川省,1,1,1,1,1,2,3,7,7,10,10,12,12,12,12,13,16,16,16,16,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18
遂宁,四川省,1,2,2,2,3,3,4,5,5,5,5,5,5,5,5,6,8,10,10,10,10,10,10,12,17,17,17,17,17,17,17,17,17,17,17,17,17
雅安,四川省,1,1,1,1,2,2,2,3,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
青岛,山东省,4,6,8,13,15,17,21,21,21,24,26,32,35,41,44,46,49,53,53,53,53,55,56,57,57,58,59,59,59,59,59,60,60,60,60,60,60
威海,山东省,2,3,4,9,10,12,14,19,24,24,25,25,27,29,31,33,34,35,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
临沂,山东省,2,3,7,7,8,16,16,23,23,24,25,28,30,32,35,40,40,42,44,45,45,47,47,47,47,48,48,49,49,49,49,49,49,49,49,49,49
济南,山东省,2,3,5,7,10,11,14,16,18,19,22,25,29,34,41,42,43,44,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
烟台,山东省,2,2,2,8,10,12,13,18,20,20,26,26,27,30,34,35,37,39,41,43,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47
潍坊,山东省,1,1,2,3,3,5,7,8,9,11,13,14,16,21,27,31,36,37,38,38,41,41,42,43,44,44,44,44,44,44,44,44,44,44,44,44,44
日照,山东省,1,3,4,5,6,8,9,9,10,11,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
济宁,山东省,1,2,5,5,5,5,8,8,11,14,18,21,25,32,35,38,39,39,41,42,43,46,49,51,52,52,52,52,253,253,257,257,258,258,258,258,258
合肥,安徽省,6,10,13,13,16,29,39,50,59,59,75,81,93,104,115,128,136,147,150,157,161,166,168,169,171,173,173,173,174,174,174,174,174,174,174,174,174
六安,安徽省,2,2,3,3,4,6,8,9,13,13,20,30,34,36,41,51,54,57,59,59,60,61,63,65,68,68,69,69,69,69,69,69,69,69,69,69,69
阜阳,安徽省,2,7,10,10,21,23,28,38,47,59,65,79,84,95,105,113,118,125,132,138,142,146,150,152,153,154,155,155,155,155,155,155,155,155,155,155,155
滁州,安徽省,1,2,2,2,4,4,4,4,6,6,8,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
亳州,安徽省,1,4,6,6,8,15,20,20,25,30,39,48,58,66,72,81,87,92,92,97,100,106,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108
安庆,安徽省,1,4,5,8,8,14,18,18,31,43,47,55,56,60,66,71,75,78,80,80,80,81,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83
池州,安徽省,1,1,1,1,1,1,2,4,4,6,6,10,11,11,11,11,12,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
蚌埠,安徽省,1,1,1,3,3,3,8,15,16,26,37,43,48,64,88,99,115,126,134,141,146,149,153,157,158,158,159,160,160,160,160,160,160,160,160,160,160
北海,广西壮族自治区,6,6,9,9,11,13,15,17,23,23,26,27,29,31,31,32,33,35,36,39,39,40,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44
柳州,广西壮族自治区,2,3,5,6,6,6,10,11,12,12,14,15,17,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
桂林,广西壮族自治区,2,6,11,14,15,16,18,18,21,23,24,24,26,27,28,29,29,30,30,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32
梧州,广西壮族自治区,1,1,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
百色,广西壮族自治区,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
河池,广西壮族自治区,1,3,3,3,3,3,5,6,6,6,6,8,9,11,11,15,19,21,21,21,21,21,22,22,22,22,23,23,24,25,25,27,28,28,28,28,28
郑州,河南省,3,6,20,29,37,40,46,50,56,65,72,85,92,102,112,120,126,130,132,137,141,142,144,148,151,154,156,156,157,157,157,157,157,157,157,157,157
巩义,河南省,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛阳,河南省,1,1,1,2,2,2,2,3,5,7,7,12,17,21,24,25,25,27,28,29,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
三门峡,河南省,1,1,2,3,3,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
信阳,河南省,1,5,22,23,29,32,42,49,70,88,99,112,138,164,176,192,205,220,228,231,240,243,252,261,262,266,268,269,270,273,274,274,274,274,274,274,274
周口,河南省,1,4,5,11,15,19,25,36,38,40,47,52,56,59,60,62,62,65,65,66,68,69,70,71,75,76,76,76,76,76,76,76,76,76,76,76,76
南京,江苏省,3,4,7,7,10,14,19,25,28,35,40,44,47,52,57,65,71,78,84,87,90,91,91,92,92,92,93,93,93,93,93,93,93,93,93,93,93
苏州,江苏省,2,3,7,8,12,20,24,32,34,38,44,52,55,60,69,72,75,77,80,84,85,85,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87
连云港,江苏省,1,1,3,3,3,3,6,9,13,13,14,17,20,22,24,27,32,35,37,39,42,45,46,48,48,48,48,48,48,48,48,48,48,48,48,48,48
扬州,江苏省,1,1,1,4,5,8,8,8,13,13,14,15,15,15,17,17,18,18,18,18,20,20,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23
南通,江苏省,1,1,2,4,6,6,9,10,12,17,19,22,25,27,29,31,32,33,35,37,38,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
无锡,江苏省,1,1,2,4,6,9,10,12,13,19,23,25,26,28,31,34,38,41,45,48,49,51,52,53,55,55,55,55,55,55,55,55,55,55,55,55,55
海口,海南省,3,3,3,6,7,9,9,9,11,11,13,14,16,16,21,23,23,28,29,29,29,31,33,33,34,34,34,39,39,39,39,39,39,39,39,39,39
三亚,海南省,2,6,8,11,14,14,14,14,15,17,18,18,22,30,34,37,41,43,46,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
万宁,海南省,2,5,5,7,7,8,8,8,8,8,9,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
临高,海南省,1,1,1,1,1,1,1,2,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
南昌,江西省,2,3,4,8,17,25,46,67,83,89,103,121,134,149,162,168,179,189,195,204,210,217,222,227,228,229,230,229,229,229,229,229,229,229,229,230,230
抚州,江西省,1,4,6,7,8,9,13,15,18,24,29,34,44,46,56,59,63,64,67,68,69,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
萍乡,江西省,1,1,2,2,2,2,5,8,9,15,18,20,22,23,24,24,24,25,26,29,29,31,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33
九江,江西省,1,2,2,4,9,16,31,42,43,55,64,78,86,92,95,97,100,101,101,105,109,114,115,117,117,118,118,118,118,118,118,118,118,118,118,118,118
新余,江西省,1,1,1,3,3,11,11,28,40,43,50,59,69,78,87,95,100,105,110,117,121,124,127,129,129,129,129,130,130,130,130,130,130,130,130,130,130
吉安,江西省,1,1,2,3,3,4,5,8,11,12,13,15,15,15,16,17,17,18,19,21,20,20,20,21,21,22,22,22,22,22,22,22,22,22,22,22,22
西安,陕西省,2,4,8,12,15,18,22,32,39,47,55,60,70,74,80,88,96,98,104,110,114,114,114,114,117,117,118,120,120,120,120,120,120,120,120,120,120
咸阳,陕西省,1,3,3,4,4,5,5,6,8,9,9,11,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
安康,陕西省,1,3,3,7,8,10,10,13,14,16,17,17,19,21,21,21,21,22,22,22,22,23,24,24,25,25,25,26,26,26,26,26,26,26,26,26,26
延安,陕西省,1,1,1,2,2,3,3,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
沈阳,辽宁省,2,5,6,7,8,9,9,10,13,17,15,18,23,23,25,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
大连,辽宁省,1,4,4,5,5,5,5,7,10,12,12,13,14,14,14,16,16,16,16,16,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19
朝阳,辽宁省,1,2,2,2,2,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
福州,福建省,5,6,13,18,24,24,30,32,39,44,47,53,55,56,57,59,62,63,63,64,64,66,66,68,69,71,71,71,71,71,71,71,71,71,72,72,72
厦门,福建省,3,3,4,4,5,6,7,13,17,18,19,20,21,21,23,25,25,28,31,32,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35
泉州,福建省,1,3,5,10,13,13,18,22,24,29,31,35,37,39,40,40,42,42,43,43,44,44,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47
宁德,福建省,1,2,3,6,6,7,8,9,9,9,12,12,14,16,16,21,23,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26
漳州,福建省,0,3,4,5,6,7,7,8,11,12,13,13,15,16,16,16,16,16,17,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
三明,福建省,0,1,4,4,8,9,10,10,10,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14
武汉,湖北省,495,572,618,698,1590,1905,2261,2639,3215,4109,5142,6384,8351,10117,11618,13603,14982,16902,18454,19558,32994,35991,37914,39462,41152,42752,44412,45027,45346,45660,46201,46607,47071,47441,47824,48137,48557
孝感,湖北省,22,26,55,100,173,274,399,541,628,749,918,1120,1462,1886,2141,2313,2436,2541,2642,2751,2874,3009,3114,3201,3279,3320,3344,3329,3346,3429,3443,3465,3482,3501,3516,3517,3518
黄冈,湖北省,12,64,122,154,213,324,496,573,726,1002,1246,1422,1645,1807,1897,2041,2141,2252,2332,2398,2662,2791,2817,2823,2831,2828,2844,2839,2856,2899,2904,2904,2904,2904,2904,2904,2904
荆州,湖北省,8,10,33,47,71,101,151,221,287,333,499,613,713,801,885,941,997,1045,1075,1110,1431,1447,1478,1490,1501,1537,1541,1510,1517,1566,1574,1574,1576,1577,1579,1579,1579
荆门,湖北省,8,21,38,90,114,142,191,227,251,329,345,400,422,508,553,588,663,641,656,696,927,901,902,909,915,900,901,794,800,914,918,920,920,922,923,924,924
仙桃,湖北省,2,10,11,12,27,32,55,90,97,140,169,188,225,265,307,359,379,416,438,460,480,500,514,523,531,544,562,567,568,571,571,573,575,575,575,575,575
宜昌,湖北省,1,1,20,31,51,63,117,167,276,353,392,452,496,563,610,633,711,749,772,784,810,877,906,901,895,904,907,891,895,914,917,924,926,927,929,931,931
十堰,湖北省,1,5,20,40,65,88,119,150,177,212,256,291,318,353,395,438,467,481,505,536,562,586,597,602,612,626,638,641,654,659,667,669,671,671,671,671,671
石家庄,河北省,1,4,5,7,9,10,11,11,12,13,16,21,21,24,24,24,24,25,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,29,29
沧州,河北省,1,2,2,2,5,8,12,18,19,19,19,20,20,21,23,28,28,28,32,37,42,45,46,47,47,48,48,48,48,48,48,48,48,48,48,48,48
牡丹江,黑龙江省,1,1,1,1,1,1,1,2,6,7,8,8,9,10,11,13,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14
哈尔滨,黑龙江省,1,6,8,8,10,11,13,18,25,34,45,63,73,82,94,100,114,128,146,150,159,164,167,182,188,190,192,194,197,197,198,198,198,198,198,198,198
大庆,黑龙江省,1,1,3,5,5,5,5,7,8,8,11,11,11,13,13,13,13,13,14,15,15,18,19,19,20,20,23,26,26,26,26,26,26,26,26,26,26
绥化,黑龙江省,1,1,2,3,8,8,10,12,13,14,16,22,24,29,39,44,35,37,39,43,45,45,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47
银川,宁夏回族自治区,1,1,2,5,7,7,9,11,15,16,19,20,20,25,27,29,28,28,30,31,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34
中卫,宁夏回族自治区,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
满洲里,内蒙古自治区,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长春,吉林省,1,1,,1,1,1,4,4,7,13,17,18,28,29,32,32,37,39,40,42,42,43,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45
吉林,吉林省,1,2,,2,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
松原,吉林省,1,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
贵阳,贵州省,1,1,1,1,1,1,1,4,4,6,7,10,12,15,18,18,24,27,29,31,33,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36
铜仁,贵州省,1,2,2,2,2,2,2,3,3,3,6,6,6,6,6,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
黔南州,贵州省,1,1,1,2,4,4,4,4,4,5,5,6,6,6,7,7,7,8,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
兰州,甘肃省,1,2,4,8,11,14,14,15,23,23,26,30,30,30,32,33,33,33,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36
白银,甘肃省,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
太原,山西省,1,2,2,2,3,3,3,4,4,6,6,6,9,9,11,12,15,17,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20
黄石,湖北省,,31,31,36,53,86,113,168,209,252,334,405,509,566,635,703,760,805,835,874,911,943,980,988,983,985,983,967,974,997,1001,1005,1008,1011,1013,1013,1013
恩施州,湖北省,,11,17,25,38,51,66,75,87,105,111,123,138,144,157,160,171,187,195,203,229,237,244,247,249,250,249,244,245,251,251,251,251,251,251,251,252
随州,湖北省,,5,36,52,70,116,143,228,304,384,458,641,706,834,915,953,984,1049,1095,1129,1160,1206,1232,1254,1267,1278,1280,1283,1287,1296,1300,1303,1305,1306,1307,1307,1307
天门,湖北省,,3,5,13,23,34,44,67,82,99,115,117,128,138,163,179,197,217,261,293,362,416,422,447,485,500,486,473,477,493,494,494,495,496,496,496,496
鄂州,湖北省,,1,1,20,57,84,123,189,227,278,306,332,382,423,471,569,639,725,790,861,1065,1125,1192,1230,1274,1339,1343,1338,1343,1375,1379,1383,1385,1387,1389,1389,1390
襄阳,湖北省,,1,8,36,70,131,163,286,347,441,548,632,735,787,838,907,988,1019,1063,1088,1101,1111,1128,1144,1155,1163,1165,1167,1170,1173,1173,1174,1175,1175,1175,1175,1175
铜川,陕西省,,3,5,5,5,5,5,5,5,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
商洛,陕西省,,1,1,1,2,2,2,2,2,2,2,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
锡林郭勒盟,内蒙古自治区,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,6,6,8,8,9,9,9,9,9,9,9,9,9,9,9
鄂尔多斯,内蒙古自治区,,2,2,2,2,2,3,3,5,6,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
赤峰,内蒙古自治区,,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
呼伦贝尔,内蒙古自治区,,1,,,2,2,2,1,2,2,2,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
儋州,海南省,,3,3,5,5,5,5,5,6,6,7,8,10,10,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
陵水,海南省,,1,1,1,1,1,2,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
铁岭,辽宁省,,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
葫芦岛,辽宁省,,2,2,2,2,4,4,4,5,5,5,6,7,7,9,9,9,9,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12
本溪,辽宁省,,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
曲靖,云南省,,1,1,2,2,5,5,5,5,5,6,9,10,10,10,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
玉溪,云南省,,1,1,1,5,5,6,6,7,11,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
红河州,云南省,,1,1,2,2,2,4,4,5,5,5,5,5,5,5,5,5,6,6,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
大理,云南省,,1,1,2,3,3,4,6,6,7,7,7,7,10,11,11,11,13,,,,,,,,,,,,,,,,,,,
临夏,甘肃省,,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
西宁,青海省,,1,,6,6,6,6,8,9,9,12,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
德州,山东省,,1,3,6,8,11,15,16,17,19,19,19,24,26,27,29,30,32,32,33,35,35,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37
聊城,山东省,,1,1,1,3,4,5,7,8,9,10,10,12,15,20,27,33,34,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
滨州,山东省,,1,3,3,4,7,9,9,9,10,11,11,11,11,11,11,11,11,11,12,12,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15
菏泽,山东省,,1,1,4,5,7,7,8,8,9,10,10,12,13,13,14,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
自贡,四川省,,1,1,2,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
泸州,四川省,,1,2,3,4,5,5,5,5,6,7,9,10,12,13,13,16,17,18,19,19,19,19,19,19,19,20,24,24,24,24,24,24,24,24,24,24
内江,四川省,,1,1,1,3,4,4,6,10,11,12,15,15,16,17,17,17,17,18,20,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
固原,宁夏回族自治区,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
乌鲁木齐,新疆维吾尔自治区,,3,3,4,5,6,7,8,8,8,10,12,12,15,18,19,20,20,20,20,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
常州,江苏省,,5,5,6,8,8,10,13,14,15,15,19,24,27,29,31,31,31,31,36,38,43,43,46,49,50,51,51,51,51,51,51,51,51,51,51,51
盐城,江苏省,,1,1,1,1,6,6,8,13,15,15,15,15,16,16,17,17,18,18,21,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
宿迁,江苏省,,1,1,1,3,4,4,7,8,8,9,10,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13
保定,河北省,,1,3,3,3,6,7,11,11,13,13,13,17,17,18,18,21,26,30,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
承德,河北省,,1,1,1,1,1,2,2,2,2,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
南阳,河南省,,8,15,19,26,31,51,61,66,62,84,99,107,111,118,128,133,134,136,138,145,146,150,151,154,155,155,155,155,155,155,155,155,155,156,156,156
驻马店,河南省,,2,7,9,10,16,25,30,40,46,58,72,82,98,106,113,116,123,126,128,134,137,138,138,138,139,139,139,139,139,139,139,139,139,139,139,139
新乡,河南省,,1,3,4,6,7,11,15,21,21,27,33,39,41,41,43,44,46,48,53,54,55,55,56,57,57,57,57,57,57,57,57,57,57,57,57,57
平顶山,河南省,,1,2,5,5,5,8,10,11,14,19,28,34,41,46,48,50,52,54,55,56,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
固始县,河南省,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
益阳,湖南省,,4,4,7,10,14,17,20,24,27,30,35,40,41,43,44,46,53,54,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60
衡阳,湖南省,,3,3,4,7,17,20,25,26,30,32,35,39,43,43,43,45,45,45,45,45,46,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48
常德,湖南省,,3,7,12,19,26,30,37,39,42,45,50,56,62,64,66,66,72,73,75,77,78,78,79,79,79,79,79,80,80,82,82,82,82,82,82,82
邵阳,湖南省,,2,2,8,11,19,29,36,41,49,51,55,68,74,83,86,87,89,91,94,99,100,100,101,101,101,102,102,102,102,102,102,102,102,102,102,102
马鞍山,安徽省,,4,7,7,10,11,14,14,22,27,28,28,30,30,30,31,31,31,32,32,32,34,35,36,36,36,37,37,37,38,38,38,38,38,38,38,38
铜陵,安徽省,,3,3,3,9,9,10,14,16,16,18,19,19,20,22,23,24,25,27,27,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29
芜湖,安徽省,,1,3,6,9,11,14,14,15,16,16,21,23,26,27,29,29,30,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,34,34
东莞,广东省,,1,2,2,7,7,11,16,21,27,31,37,44,47,53,56,58,60,62,67,70,73,81,89,89,91,91,92,93,93,94,96,97,97,97,98,99
汕头,广东省,,1,2,2,5,8,12,12,14,15,18,18,20,21,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
运城,山西省,,2,2,2,3,4,7,8,10,10,13,16,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
大同,山西省,,1,1,1,1,3,4,5,6,8,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
长治,山西省,,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
赣州,江西省,,2,7,7,10,16,21,27,30,34,35,42,48,52,59,64,69,71,72,72,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
上饶,江西省,,2,6,6,7,9,11,12,16,19,32,50,69,78,86,92,98,103,111,116,119,122,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
景德镇,江西省,,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
宜春,江西省,,1,5,6,10,14,14,26,29,31,36,45,48,54,62,67,74,77,83,88,95,101,102,104,106,106,106,106,106,106,106,106,106,106,106,106,106
防城港,广西壮族自治区,,2,2,3,3,5,5,7,8,8,9,11,13,15,15,16,16,17,17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19,19,19
玉林,广西壮族自治区,,1,1,2,2,2,2,4,5,7,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11
保山,云南省,,,2,3,4,4,5,6,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
德宏,云南省,,,2,2,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
昭通,云南省,,,1,1,2,2,4,6,6,8,8,9,10,10,10,10,12,12,14,14,14,19,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
莆田,福建省,,,1,10,14,14,17,22,25,27,34,37,38,42,44,47,47,51,51,52,54,54,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56
南平,福建省,,,1,2,3,3,3,3,8,8,11,11,12,12,12,14,16,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
揭阳,广东省,,,3,3,4,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
梅州,广东省,,,1,3,4,4,5,5,6,7,8,9,10,12,12,13,13,13,13,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16
南宁,广西壮族自治区,,,1,5,5,7,15,16,16,16,22,27,28,30,31,32,35,37,41,44,44,47,49,50,51,54,54,54,54,55,55,55,55,55,55,55,55
营口,辽宁省,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
丹东,辽宁省,,,1,4,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
盘锦,辽宁省,,,1,2,2,2,3,4,7,6,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
镇江,江苏省,,,2,2,2,2,2,2,2,3,3,5,6,8,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
淮安,江苏省,,,1,2,2,3,7,10,12,13,18,22,26,34,37,40,44,46,46,47,51,56,60,63,65,66,66,66,66,66,66,66,66,66,66,66,66
泰州,江苏省,,,1,2,4,8,9,12,17,17,21,23,26,28,29,30,30,31,34,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
淄博,山东省,,,1,2,2,4,8,9,10,12,12,12,14,14,15,15,16,17,20,20,23,28,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30
咸宁,湖北省,,,43,64,91,112,130,166,206,246,296,348,384,399,443,476,493,507,515,525,534,732,840,852,861,868,832,766,766,836,836,836,836,836,836,836,836
汉中,陕西省,,,1,3,4,6,6,11,13,15,15,16,19,20,21,21,21,21,21,21,21,21,21,25,25,25,26,26,26,26,26,26,26,26,26,26,26
南充,四川省,,,2,2,4,5,9,11,16,23,26,27,28,29,30,31,32,33,34,34,35,35,35,35,35,38,38,38,38,38,38,39,39,39,39,39,39
