locked_on_date,bd_feb15avgdif_holi,bd_feb15avgdif_date,bd_feb29avgdif_holi,bd_feb29avgdif_date,popHR18_all,prov,ctnm,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,age_feb20,tenure,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
0,5.5955434782608675,5.8063391304347824,1.9016540540540536,2.0326891891891896,148.0,安徽省,黄山市,9.0,2869916.0,0.060810810810810814,31.07,62.85,53,4,36.14,32.0,3398.0,528.0,3.0303030303030303,30.45,68.66,0.0,0,1,0,0,0,33.0,29.0
0,5.965791304347826,6.2931739130434785,2.7550702702702705,2.958578378378378,432.0,河南省,濮阳市,17.0,4387409.0,0.03935185185185185,45.47,50.45,57,4,55.64,61.0,7939.0,890.0,2.02247191011236,57.83,42.14,0.0,0,1,0,0,1,33.0,35.0
0,4.672226086956521,5.207491304347825,1.5754189189189178,1.9081513513513508,534.0,湖南省,郴州市,39.0,6904667.0,0.07303370786516854,42.09,54.4,57,4,35.3,339.0,11028.0,1076.0,4.368029739776952,37.21,62.26,0.0,1,0,0,0,1,32.0,36.0
0,4.593452173913045,4.601621739130435,1.9913432432432447,1.9964216216216224,468.0,陕西省,咸阳市,17.0,7049152.0,0.03632478632478633,71.34,27.71,58,4,43.47,151.0,10820.0,727.0,4.264099037138927,49.65,49.95,1.0,0,0,1,0,0,34.0,37.0
1,5.13125217391304,5.8930739130434775,1.6638918918918906,2.137456756756757,431.0,江西省,抚州市,72.0,3966520.0,0.16705336426914152,46.5,41.95,57,4,32.02,48.0,5528.0,994.0,4.728370221327968,51.33,47.94,0.0,0,1,0,0,1,35.0,38.0
0,4.5360000000000005,4.380013043478261,1.7540729729729732,1.6571081081081085,206.0,青海省,西宁市,15.0,10086748.0,0.07281553398058252,37.4,62.35,51,4,35.9,73.0,8522.0,270.0,4.814814814814816,38.71,60.97,0.0,0,0,1,0,0,32.0,30.0
1,4.784426086956521,4.694882608695653,1.9360648648648648,1.8804027027027042,757.0,广西壮族自治区,南宁市,49.0,34107409.0,0.06472919418758256,40.15,53.66,58,4,37.35,115.0,23412.0,960.0,7.8125,40.44,58.6,1.0,0,1,0,0,0,39.0,43.0
0,4.6809304347826135,4.631139130434784,1.7551756756756776,1.7242243243243252,238.0,陕西省,延安市,8.0,3825290.0,0.03361344537815126,43.17,51.27,57,4,43.47,63.0,5266.0,171.0,1.7543859649122806,41.68,57.59,0.0,0,1,0,0,1,35.0,35.0
1,5.4467130434782565,5.86501304347826,1.9023324324324304,2.1623567567567563,974.0,江西省,赣州市,76.0,7665439.0,0.07802874743326489,43.71,49.75,57,4,32.02,85.0,14048.0,1800.0,11.333333333333332,35.27,63.84,1.0,1,0,0,0,0,35.0,35.0
1,4.330795652173912,3.9601956521739137,1.7116945945945932,1.4813216216216212,563.0,云南省,昆明市,48.0,38896946.0,0.0852575488454707,38.71,59.95,58,4,30.69,308.0,27317.0,990.0,7.777777777777778,41.05,58.71,1.0,0,0,1,0,0,37.0,36.0
1,5.346634782608693,5.595791304347826,1.9776486486486464,2.132529729729729,169.0,江西省,景德镇市,5.0,3854290.0,0.029585798816568046,44.54,54.06,56,4,32.02,31.0,3147.0,327.0,6.422018348623854,45.92,50.89,0.0,0,1,0,0,1,34.0,37.0
0,4.3204217391304365,4.680682608695653,1.2309459459459466,1.4548918918918927,250.0,广西壮族自治区,崇左市,0.0,1936177.0,0.0,47.77,37.48,56,4,37.35,30.0,3374.0,201.0,9.452736318407961,22.67,68.45,0.0,0,0,1,0,1,30.0,32.0
0,4.65574347826087,4.304869565217392,2.0272054054054056,1.8090945945945949,326.0,甘肃省,兰州市,35.0,20965283.0,0.10736196319018405,32.59,66.84,53,3,31.0,127.0,13692.0,351.0,4.843304843304843,42.07,57.86,0.0,0,1,0,0,0,30.0,30.0
0,4.1070913043478265,4.374039130434783,1.3101432432432425,1.4760837837837837,270.0,甘肃省,庆阳市,3.0,2029988.0,0.011111111111111112,51.88,45.3,56,3,31.0,28.0,4149.0,107.0,0.9345794392523364,33.05,66.72,1.0,0,1,0,0,1,31.0,31.0
0,4.893104347826087,4.84355652173913,2.0236108108108115,1.9928108108108105,175.0,广西壮族自治区,北海市,43.0,9651455.0,0.24571428571428572,62.12,27.8,57,3,37.35,25.0,3514.0,212.0,17.452830188679243,35.53,61.07,0.0,0,0,1,0,0,33.0,35.0
0,4.897752173913044,5.447908695652171,1.55752972972973,1.8995189189189188,244.0,广西壮族自治区,贺州市,4.0,3141921.0,0.01639344262295082,40.79,42.78,56,3,37.35,28.0,3449.0,204.0,7.84313725490196,16.84,81.69,0.0,0,1,0,0,1,34.0,34.0
0,3.581347826086958,4.217499999999999,0.3068081081081102,0.7022540540540536,923.0,贵州省,毕节市,23.0,3721144.0,0.024918743228602384,31.81,50.5,59,3,35.3,509.0,11505.0,549.0,1.275045537340619,18.37,81.27,0.0,0,1,0,0,0,34.0,37.0
1,5.170039130434782,4.979647826086957,2.305664864864865,2.187313513513514,973.0,河北省,石家庄市,27.0,33962728.0,0.02774922918807811,38.88,58.95,58,3,31.22,235.0,34487.0,2638.0,3.3358605003790758,30.55,69.25,0.0,0,1,0,0,1,35.0,43.0
1,5.452169565217392,5.423343478260869,2.528045945945945,2.5101270270270275,778.0,河北省,沧州市,46.0,8667928.0,0.05912596401028278,50.01,48.77,54,3,31.22,154.0,19233.0,2417.0,3.9718659495242035,25.07,73.6,1.0,0,0,1,0,1,35.0,30.0
0,4.158447826086956,4.150217391304347,1.4256540540540534,1.4205378378378368,318.0,山西省,大同市,12.0,8866388.0,0.03773584905660377,38.54,60.0,55,3,31.47,143.0,9464.0,232.0,6.896551724137932,50.68,48.99,1.0,0,0,1,0,0,34.0,30.0
0,4.916943478260869,4.935091304347825,1.9298891891891883,1.9411702702702684,392.0,山西省,吕梁市,6.0,813938.0,0.015306122448979591,28.09,69.47,57,3,31.47,104.0,7201.0,451.0,3.104212860310421,42.8,56.99,0.0,0,1,0,0,1,35.0,37.0
1,5.343147826086958,5.111526086956523,2.065494594594596,1.9215135135135155,224.0,内蒙古自治区,包头市,11.0,24190700.0,0.049107142857142856,40.7,58.17,60,3,35.79,84.0,8588.0,401.0,4.7381546134663335,47.71,51.56,0.0,1,0,0,0,1,36.0,36.0
0,4.534739130434785,4.890386956521739,2.151435135135136,2.3725135135135123,528.0,黑龙江省,绥化市,46.0,1765596.0,0.08712121212121213,25.77,28.15,56,3,31.47,64.0,10613.0,314.0,2.2292993630573252,22.59,73.09,0.0,0,1,0,0,1,27.0,33.0
0,5.399273913043479,6.097860869565213,2.1134000000000004,2.547656756756754,656.0,安徽省,宿州市,39.0,6442018.0,0.05945121951219512,38.42,51.42,56,3,36.14,81.0,9221.0,1272.0,2.279874213836478,29.188078000000004,35.174717,0.0,0,1,0,0,1,30.0,37.0
0,5.613356521739129,6.026900000000002,2.6271162162162156,2.8841837837837856,1200.0,河南省,南阳市,150.0,7557584.0,0.125,33.79,59.51,58,3,55.64,108.0,17993.0,1969.0,1.8791264601320468,41.35,58.11,1.0,0,1,0,0,1,35.0,37.0
0,4.791052173913041,5.150813043478259,1.385694594594593,1.6093297297297289,170.0,湖南省,张家界市,5.0,2796735.0,0.029411764705882353,15.71,77.29,55,3,35.3,30.0,3207.0,213.0,2.3474178403755865,22.07,77.51,0.0,1,0,0,0,1,35.0,35.0
