"绍兴市",81130X1115,4494,2437,3906,2067,380,244,208,126
"金华市",111111113,3691,667,3509,597,99,40,83,30
"衢州市",011211011,842,305,796,283,16,3,30,19
"舟山市",211011811&11,351,289,328,274,8,6,15,9
"台州市",1^21100,3760,1189,3608,1142,77,25,75,22
"丽水市",1̂ 811111,849,199,821,193,12,3,16,3
"安徽省",入1111111,,,,,,,,
"合肥市",1^6& 1,2257,851,2085,721,61,44,111,86
"芜湖市",1̂11111,1962,757,1836,661,51,37,75,59
"蚌埠市",861121511,1115,485,1075,462,23,9,17,14
"淮南市",1̂13111311,610,330,589,316,13,9,8,5
"马鞍山市",1^330511311,1054,392,995,353,29,22,30,17
"淮北市",1̂1311)61,738,465,720,453,6,4,12,8
"铜陵市",1011211118,540,306,519,287,12,10,9,9
"安庆市",,1716,252,1668,227,18,5,30,20
"黄山市",11113112811&11,528,227,512,216,8,5,8,6
"滁州市",011112:11011,1621,416,1529,364,35,21,57,31
"阜阳市",,1752,478,1734,471,10,6,8,1
"宿州市",811211011,1272,540,1243,527,14,6,15,7
"六安市",,914,431,889,420,5,2,20,9
"亳州市",80211011,1032,334,1025,331,3,1,4,2
"池州市",0111211011,580,257,563,249,5,3,12,5
"宣城市",乂11311〇1161̂,1439,234,1393,229,15,2,31,3
"福建省","1̂1,11311",,,,,,,,
"福州市",?11211011,2213,1135,1655,887,306,140,252,108
"厦门市",X I&111011,1894,1894,1207,1207,376,376,311,311
"莆田市",,1221,922,1044,762,130,119,47,41
"三明市",83111111115,1770,275,1695,265,53,8,22,2
"泉州市",1̂1311211011,4635,667,3236,419,1070,196,329,52
"漳州市",211311̂ 211011,2254,367,1776,290,333,49,145,28
"南平市",,1089,262,1045,250,22,5,22,7
"龙岩市",1^002)^11,1186,595,1086,557,70,22,30,16
"宁德市",1^111^6,1086,99,1063,93,17,5,6,1
"江西省",^1311^X1,,,,,,,,
"南昌市",1̂ 3110113112,1473,906,1333,807,63,42,77,57
"景德镇市",1111̂ 6211611,327,120,306,111,8,3,13,6
"萍乡市",,578,304,555,289,19,12,4,3
"九江市",1111)13112,1607,391,1497,350,68,21,42,20
"新余市",,369,293,352,278,11,9,6,6
"鹰潭市",V III讲 11,276,87,262,81,6,3,8,3
"赣州市",0311211011,1800,814,1596,760,147,32,57,22
"吉安市",11*311,1222,160,1134,148,58,7,30,5
"宜春市",,1542,231,1464,214,51,12,27,5
"抚州市",1̂1211011,994,264,947,250,33,6,14,8
"上饶市",811311^30,1303,245,1269,234,24,9,10,2
"山东省",811311(10113,,,,,,,,
"济南市",1111&11,2051,1414,1905,1308,49,29,97,77
"青岛市",^1112^30,3569,2 1 0 0,2532,1451,2 2 0,138,817,511
"淄博市",211)0,2624,2077,2479,1963,66,50,79,64
"枣庄市",2302111130^,1264,836,1 2 1 0,796,2 2,15,32,25
"东营市",0011呂  丫1〇层,987,538,936,500,26,21,25,17
"烟台市",&1,2377,798,1818,489,161,72,398,237
"潍坊市",^61^3112,3496,694,3224,616,91,30,181,48
