name,nativeplace,partytime,education,firstjobtime,edu,nativeprov,STEM_major?
杨光荣,湖南省湘潭市,1985-06-01 00:00:00.000000000,硕士研究生,1989-09-01 00:00:00.000000000,19,湖南,False
徐立毅,浙江省绍兴市,1986-05-01 00:00:00.000000000,本科,1983-07-01 00:00:00.000000000,16,浙江,True
张新文,重庆,1987-09-03 11:27:55.102040896,西南财经大学财政系财政学专...省人大主任刘家义简历：刘家,1988-07-01 00:00:00.000000000,19,重庆,False
廖仁松,四川都江堰,1985-10-01 00:00:00.000000000,"四川省委党校经济管理专业毕业, 省委党校大学学历, ",1981-08-01 00:00:00.000000000,16,四川,False
陈训华,贵州赤水,1985-07-01 00:00:00.000000000,"贵州省委党校研究生学历, 理学学士, 1979.0",1983-08-01 00:00:00.000000000,19,贵州,False
高志国,吉林省大安,1986-11-01 00:00:00.000000000,"美国伊利诺伊大学工商管理专业毕业, 在职研究生学历",1988-07-01 00:00:00.000000000,19,吉林,False
江敦涛,山东即墨,1992-04-27 08:55:50.533070720,"在职研究生学历, 管理学博士",1990-04-25 21:49:05.454545408,22,山东,False
魏树旺,河北清苑,1990-12-01 00:00:00.000000000,"法学博士, 1983.09—1986.07保定师范学校",1986-07-01 00:00:00.000000000,22,河北,False
王莉霞,辽宁建平,1992-12-01 00:00:00.000000000,"在职研究生学历, 经济学博士, 1981.10——",1985-09-01 00:00:00.000000000,22,辽宁,False
王浩,山东省菏泽市单县,1984-01-01 00:00:00.000000000,本科,1982-07-01 00:00:00.000000000,16,山东,False
蓝绍敏,广东省梅州市大埔县,1984-03-01 00:00:00.000000000,博士研究生,1985-07-01 00:00:00.000000000,22,广东,True
马里,黑龙江东宁,1982-02-01 00:00:00.000000000,"大学学历, 黑龙江省经济管理干部学院经济管理专业毕业",1979-11-01 00:00:00.000000000,16,黑龙江,False
张晓强,浙江庆元,1996-06-01 00:00:00.000000000,"浙江林学院林学专业毕业, 大学学历, 1992—1",1996-08-01 00:00:00.000000000,16,浙江,True
范波,湖北洪湖,1990-06-01 00:00:00.000000000,"吉林工业大学管理科学与工程专业管理学在职硕士研究生, ",1991-07-01 00:00:00.000000000,19,湖北,False
董一兵,山西闻喜,1985-01-01 00:00:00.000000000,"硕士研究生毕业, 1981.09山西师范大学数学系数学",1985-07-01 00:00:00.000000000,19,山西,True
张古江,天津市武清区,1984-12-01 00:00:00.000000000,硕士研究生,1984-05-01 00:00:00.000000000,19,天津,False
惠建林,江苏省苏州市,1992-04-01 00:00:00.000000000,本科,1986-07-01 00:00:00.000000000,16,江苏,False
许维泽,贵州桐梓,1983-07-01 00:00:00.000000000,"研究生学历...省人大主任娄勤俭简历：娄勤俭, 研究生",1982-08-01 00:00:00.000000000,16,贵州,False
郑建新,贵州省黔东南苗族侗族自治州黄平县,1991-12-01 00:00:00.000000000,博士研究生,1990-07-01 00:00:00.000000000,22,贵州,False
马国强,河北省定州市,1985-12-01 00:00:00.000000000,硕士研究生,1986-08-01 00:00:00.000000000,19,河北,True
关建勋,山西省运城市临猗县,1990-03-01 00:00:00.000000000,硕士研究生,1990-07-01 00:00:00.000000000,19,山西,False
李俊明,山西省忻州市定襄县,1980-11-01 00:00:00.000000000,硕士研究生,1977-03-01 00:00:00.000000000,19,山西,False
殷美根,江西省南昌市,1985-05-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,江西,False
王忠林,山东省临沂市费县,1984-06-01 00:00:00.000000000,博士研究生,1984-07-01 00:00:00.000000000,22,山东,False
王鲁明,山东省海阳市,1980-12-01 00:00:00.000000000,"在职研究生学历, ",1984-07-01 00:00:00.000000000,22,山东,True
