name,nativeplace,partytime,education,firstjobtime,edu,nativeprov,STEM_major?
柳鹏,甘肃省兰州市,1994-01-01 00:00:00.000000000,硕士研究生,1991-07-01 00:00:00.000000000,19,甘肃,False
张文胜,河南省郑州市,1989-01-01 00:00:00.000000000,硕士研究生,1991-01-01 00:00:00.000000000,19,河南,False
谭作钧,湖南省株洲市茶陵县,1990-08-02 13:00:00.000000000,硕士研究生,1990-08-01 00:00:00.000000000,19,湖南,False
王伟中,山西朔州,1983-10-01 00:00:00.000000000,"清华大学公共管理学院管理科学与工程专业毕业, 研究生学",1987-04-01 00:00:00.000000000,22,山西,False
沈左权,浙江省湖州市安吉县,1987-07-01 00:00:00.000000000,硕士研究生,1987-08-01 00:00:00.000000000,19,浙江,True
崔茂虎,云南省宣威市,1990-05-01 00:00:00.000000000,本科,1987-07-01 00:00:00.000000000,16,云南,False
杨维俊,甘肃省平凉市静宁县,1984-12-01 00:00:00.000000000,硕士研究生,1988-10-01 00:00:00.000000000,19,甘肃,False
郭承录,甘肃省金昌市永昌县,1986-05-01 00:00:00.000000000,博士研究生,1983-03-01 00:00:00.000000000,22,甘肃,True
唐晓明,江西省抚州市东乡县,1994-12-01 00:00:00.000000000,本科,1983-07-01 00:00:00.000000000,16,江西,False
段志强,内蒙古自治区兴安盟扎赉特旗,1987-07-01 00:00:00.000000000,硕士研究生,1984-08-01 00:00:00.000000000,19,内蒙古,False
常志刚,内蒙古自治区呼和浩特市,1993-07-01 00:00:00.000000000,硕士研究生,1987-01-01 00:00:00.000000000,19,内蒙古,False
王兆力,黑龙江省哈尔滨市双城区,1984-07-01 00:00:00.000000000,硕士研究生,1987-07-01 00:00:00.000000000,19,黑龙江,True
罗增斌,四川省广元市苍溪县,1993-06-01 00:00:00.000000000,博士研究生,1990-07-01 00:00:00.000000000,22,四川,True
许成仓,安徽省六安市,1990-12-01 00:00:00.000000000,"在职研究生学历, 1981.09—1985.07安徽师",1985-07-01 00:00:00.000000000,19,安徽,False
徐启方,陕西省安康市汉滨区,1986-07-01 00:00:00.000000000,硕士研究生,1986-07-01 00:00:00.000000000,19,陕西,False
张柱,宁夏回族自治区吴忠市同心县,1988-10-01 00:00:00.000000000,硕士研究生,1989-07-01 00:00:00.000000000,19,宁夏,False
何健,江苏省南通市,1985-06-01 00:00:00.000000000,"四川省委党校在职研究生班科学社会主义专业毕业, 四川省",1986-07-01 00:00:00.000000000,19,江苏,False
罗清宇,山西省忻州市原平市,1986-06-01 00:00:00.000000000,硕士研究生,1986-07-01 00:00:00.000000000,19,山西,True
姜志刚,江苏省连云港市东海县,1986-08-01 00:00:00.000000000,硕士研究生,1982-07-01 00:00:00.000000000,19,江苏,True
王宁,湖南省湘乡市,1983-06-01 00:00:00.000000000,本科,1983-08-01 00:00:00.000000000,16,湖南,True
张祥安,安徽省马鞍山市和县,1984-07-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,安徽,False
胡衡华,湖南省衡阳市衡南县,1985-06-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,湖南,False
周德睿,湖南省衡阳市祁东县,1991-12-01 00:00:00.000000000,硕士研究生,1989-12-01 00:00:00.000000000,19,湖南,False
慕新海,吉林省大安市,1990-03-01 00:00:00.000000000,博士研究生,1984-09-01 00:00:00.000000000,22,吉林,False
张敬华,江苏省泰州市,1985-06-01 00:00:00.000000000,本科,1985-08-01 00:00:00.000000000,16,江苏,False
鸟成云,青海省西宁市湟中县,1985-03-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,青海,False
王景武,河北省邢台市柏乡县,1985-07-01 00:00:00.000000000,硕士研究生,1986-07-01 00:00:00.000000000,19,河北,False
蒿慧杰,河南省郑州市中牟县,1995-09-01 00:00:00.000000000,硕士研究生,1991-07-01 00:00:00.000000000,19,河南,False
李忠科,甘肃省白银市,1986-01-15 06:10:07.193054976,本科,1984-03-15 12:06:03.025210112,16,甘肃,False
吴仰东,甘肃省平凉市庄浪县,1987-06-01 00:00:00.000000000,本科,1983-08-01 00:00:00.000000000,16,甘肃,False
陈振亮,山西省晋中市寿阳县,1984-06-01 00:00:00.000000000,博士研究生,1983-08-01 00:00:00.000000000,22,山西,False
胡五岳,河南省洛阳市伊川县,1984-05-01 00:00:00.000000000,"大学学历, 经济学学士, 郑州大学经济系政治经济学",1984-07-01 00:00:00.000000000,16,河南,False
焦兰生,河南长垣,1985-02-01 00:00:00.000000000,"大学学历, 高级管理人员工商管理硕士学位, 197",1982-08-01 00:00:00.000000000,19,河南,False
刘强,四川井研,1985-04-01 00:00:00.000000000,"中央党校经济管理专业毕业, 研究生学历, 1983",1983-08-01 00:00:00.000000000,19,四川,False
王文宇,宁夏中宁,1986-01-01 00:00:00.000000000,大学学历,1984-07-01 00:00:00.000000000,16,宁夏,False
韩玉起,湖南城步,1984-12-01 00:00:00.000000000,大学学历,1983-07-01 00:00:00.000000000,16,湖南,False
童道驰,湖南平江,2004-12-01 00:00:00.000000000,"研究生学历, 1984.09北京大学经济管理系国民经济",1991-07-01 00:00:00.000000000,19,湖南,False
李成辉,甘肃平凉,1997-07-01 00:00:00.000000000,"大学学历, 1985.09--1988.07新疆八一农",1988-07-01 00:00:00.000000000,16,甘肃,True
张雷,江苏淮安,1985-04-01 00:00:00.000000000,"工学学士, 1978年9月至1982年8月南京航空学院",1982-08-01 00:00:00.000000000,16,江苏,True
柴伟,吉林伊通,1986-12-01 00:00:00.000000000,"东北电力学院建筑工程系电厂建筑结构工程专业毕业, 全日",1987-08-01 00:00:00.000000000,16,吉林,True
陈瑞峰,山东胶南,1989-04-01 00:00:00.000000000,"法学硕士, 1983.09--1985.09青岛师专政",1990-01-01 00:00:00.000000000,19,山东,False
赵万山,黑龙江泰来,1985-02-01 00:00:00.000000000,"研究生学历, 中央党校国际政治专业毕业, 1986",1980-07-01 00:00:00.000000000,19,黑龙江,False
惠新安,山东日照,1986-04-03 02:16:13.169689536,"大学学历, 高级管理人员工商管理硕士学位, 198",1984-07-01 00:00:00.000000000,19,山东,True
李红军,湖北省宜昌市当阳市,1986-10-01 00:00:00.000000000,博士研究生,1987-06-01 00:00:00.000000000,22,湖北,False
项雪龙,江苏省江阴市,1984-12-01 00:00:00.000000000,"省委党校大学学历, 1983.08江阴县云亭乡团委书记",1983-08-01 00:00:00.000000000,16,江苏,False
马晓晖,浙江省慈溪市,1988-09-01 00:00:00.000000000,"省委党校研究生学历, 台州市委常委、组织部部长、市委党",1984-02-01 00:00:00.000000000,19,浙江,False
马卫光,浙江省绍兴市,1983-07-01 00:00:00.000000000,大学学历,1983-08-01 00:00:00.000000000,16,浙江,False
陈龙,浙江省诸暨市,1992-02-01 00:00:00.000000000,中央党校研究生学历,1986-07-01 00:00:00.000000000,19,浙江,False
徐文光,浙江省诸暨市,1989-01-01 00:00:00.000000000,硕士研究生,1990-08-01 00:00:00.000000000,19,浙江,False
全桂寿,广西省桂林市灵川县,1984-01-01 00:00:00.000000000,"广西大学商学院政治经济学专业毕业, 在职研究生学历,",1984-07-01 00:00:00.000000000,19,广西,False
黄海昆,广西壮族自治区贵港市,1986-01-01 00:00:00.000000000,硕士研究生,1987-07-01 00:00:00.000000000,19,广西,False
孙大军,辽宁省沈阳市辽中区,1986-02-01 00:00:00.000000000,本科,1990-07-01 00:00:00.000000000,16,辽宁,False
付忠伟,辽宁,1984-07-01 00:00:00.000000000,"在职研究生学历, 硕士学位",1986-08-01 00:00:00.000000000,19,辽宁,False
王庭凯,吉林,1990-03-26 03:09:28.421052672,硕士研究生,1988-08-13 20:56:16.076555008,19,吉林,False
宋宏伟,黑龙江省绥化市兰西县,1988-06-01 00:00:00.000000000,硕士研究生,1986-07-01 00:00:00.000000000,19,黑龙江,False
李延强,河北省邢台市巨鹿县,1987-04-01 00:00:00.000000000,硕士研究生,1984-08-01 00:00:00.000000000,19,河北,False
郭永航,山东省济南市济阳县,1986-06-01 00:00:00.000000000,硕士研究生,1989-07-01 00:00:00.000000000,19,山东,False
郭锋,广东省梅州市大埔县,1984-12-01 00:00:00.000000000,硕士研究生,1980-08-01 00:00:00.000000000,19,广东,False
梁维东,广东省佛山市,1984-11-01 00:00:00.000000000,硕士研究生,1981-07-01 00:00:00.000000000,19,广东,False
于立新,内蒙古自治区赤峰市,1992-06-01 00:00:00.000000000,"大学文化程度, 1983.09--1987.07内蒙古",1987-07-01 00:00:00.000000000,16,内蒙古,False
康涛,江苏省镇江市,1984-03-01 00:00:00.000000000,硕士研究生,1984-08-01 00:00:00.000000000,19,江苏,False
林彬杨,江西省上饶市,1985-05-01 00:00:00.000000000,硕士研究生,1986-07-01 00:00:00.000000000,19,江西,False
郭安,江西省赣州市信丰县,1985-03-01 00:00:00.000000000,硕士研究生,1981-08-01 00:00:00.000000000,19,江西,False
戴源,安徽省滁州市天长市,1985-10-01 00:00:00.000000000,本科,1982-08-01 00:00:00.000000000,16,安徽,True
张爱军,江苏省南通市如东县,1987-07-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,江苏,False
郭锡文,福建省福清市,1991-04-02 13:53:13.188854528,硕士研究生,1989-03-19 17:50:41.913875712,19,福建,False
张术平,山东省潍坊市诸城市,1985-06-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,山东,False
杨长亚,陕西省商洛市,1986-08-01 00:00:00.000000000,本科,1981-08-01 00:00:00.000000000,16,陕西,False
周铁根,江苏海安,1984-11-01 00:00:00.000000000,1982.09-1985.07江苏公安专科学校治安系学习1,1985-07-01 00:00:00.000000000,16,江苏,False
傅明先,山东省青岛市,1991-11-01 00:00:00.000000000,在职研究生,1985-02-01 00:00:00.000000000,19,山东,True
赵德明,广西壮族自治区来宾市金秀瑶族自治县,1985-06-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,广西,False
周江勇,浙江省宁波市,1992-11-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,浙江,False
陈伟俊,浙江省宁波市宁海县,1985-06-01 00:00:00.000000000,硕士研究生,1986-08-01 00:00:00.000000000,19,浙江,False
李宽端,山东省青岛市,1985-07-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,山东,False
崔洪刚,山东省淄博市,1982-11-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,山东,False
李贻伟,山东省聊城市阳谷县,1988-06-01 00:00:00.000000000,博士研究生,1988-06-01 00:00:00.000000000,22,山东,False
黄汉标,广东省陆丰市,1985-05-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,广东,False
刘超,辽宁省阜新市,1990-12-01 00:00:00.000000000,博士研究生,1993-07-01 00:00:00.000000000,22,辽宁,False
邵革军,山西省高平市,1991-01-01 00:00:00.000000000,硕士研究生,1988-08-01 00:00:00.000000000,19,山西,False
张常荣,黑龙江宾县,1991-01-01 00:00:00.000000000,"西南交通大学行政管理专业毕业, 1986.09核工业部",1988-08-01 00:00:00.000000000,19,黑龙江,False
张兵,山东宁阳,1985-04-01 00:00:00.000000000,"研究生学历, 舟山市委常委、组织部部长、市委党校校长兼",1990-08-01 00:00:00.000000000,19,山东,False
胡海峰,安徽省宣城市绩溪县,1995-05-01 00:00:00.000000000,研究生学历,1998-05-01 00:00:00.000000000,19,安徽,False
陶方启,安徽桐城,1982-11-01 00:00:00.000000000,"中央党校研究生学历, 1979.09--1981.07",1981-07-01 00:00:00.000000000,19,安徽,False
贾瑞云,河南淅川,1985-08-01 00:00:00.000000000,"四川省工商管理学院工商管理专业毕业, 1979.09-",1981-11-01 00:00:00.000000000,19,河南,False
李建勤,江苏省常州市金坛区,1986-04-01 00:00:00.000000000,博士研究生,1987-07-01 00:00:00.000000000,22,江苏,False
王德佳,辽宁清原,1989-07-01 00:00:00.000000000,博士研究生,1983-08-01 00:00:00.000000000,22,辽宁,True
何光中,湖南华容,1984-12-01 00:00:00.000000000,"在职硕士研究生学历, 管理学硕士学位, 湖北师范学",1984-08-01 00:00:00.000000000,19,湖南,False
张硕辅,湖南长沙,1984-06-01 00:00:00.000000000,"研究生学历, 工学博士学位, 1981.09武汉水",1988-06-01 00:00:00.000000000,22,湖南,True
姜小林,辽宁海城,1986-05-01 00:00:00.000000000,硕士研究生,1988-08-01 00:00:00.000000000,19,辽宁,False
王健,辽宁,1985-11-01 00:00:00.000000000,硕士研究生,1988-08-01 00:00:00.000000000,19,辽宁,False
董卫民,湖北省武穴,1990-03-01 00:00:00.000000000,"在职研究生学历, 哲学硕士, 1986.09湖北工",1990-07-01 00:00:00.000000000,19,湖北,False
马富国,河南商丘,1984-09-01 00:00:00.000000000,"在职研究生学历, 1979年7月河南省商丘师范学校学习",1981-07-01 00:00:00.000000000,19,河南,False
陈敏,江苏无锡,1985-04-01 00:00:00.000000000,"博士研究生学历, 理学博士, 1988年07月天津",1991-07-01 00:00:00.000000000,22,江苏,True
来鹤,辽宁鞍山,1997-06-01 00:00:00.000000000,大学学历,1983-08-01 00:00:00.000000000,16,辽宁,False
李峰,山东淄博,1985-11-01 00:00:00.000000000,"省委党校研究生学历, 1977.08临沭县玉山公社河湾",1977-08-01 00:00:00.000000000,19,山东,False
王立,山东省寿光市,1986-06-01 00:00:00.000000000,硕士研究生,1988-07-01 00:00:00.000000000,19,山东,False
佘春明,山东潍坊,1985-07-01 00:00:00.000000000,南开大学与澳大利亚弗林德斯大学合作办学国际经贸关系专业毕业,1982-07-01 00:00:00.000000000,19,山东,False
许志晖,广东潮州,1998-10-01 00:00:00.000000000,"在职博士研究生学历, 理学博士, 1986.09-",1990-07-01 00:00:00.000000000,22,广东,True
