prov,citycode,ctnm,inaug_time,birthmonth,name,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct,cityname,gdp2018,gdpPercap2018,gdpGrowth2018,自治州-盟-地区,in_291,popHR18_all,Log_popHR18_all,primary_ind,second_ind,third_ind,prov_full,yiji_date,prov_short,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,yiji_num,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,num_non-domestic_firms_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,sex,nativeplace,partytime,majorchara,firstjobtime,nativeprov,is_STEM_major,rule_in_native_prov,is_BA,is_MA,is_PhD,party_age,work_age,is_female,ct_shortname,bdidx_avgdiff_holiday,bdidx_avgdiff_date
河北省,131000,廊坊市,2016-6,1965-9,冯韶慧,54,0,,,3,0.0,0.0,0.0,2.0,6.0,9.0,9.0,9.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,20.0,22.0,24.0,26.0,28.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0,廊坊市,8648469.0,91067.0,11.75,False,True,474.0,6.161207321695077,2.18,38.63,59.19,河北省,2020-01-24 00:00:00.000000000,河北,0,1,0,0,1,31.22,153.0,11877.0,1180.0,149.0,12.627118644067798,0.5500000000000043,45.01,54.44,男,河北省保定市曲阳县,1984-12-01 00:00:00.000000000,1.0,1985-07-01 00:00:00.000000000,河北,0.0,1,0,1,0,35.0,34.0,0,廊坊,2.2660945945945934,2.0440027027027026
四川省,511500,宜宾市,2016-6,1962-11,刘中伯,57,1,-10.0,2020-02-06 00:00:00.000000000,3,0.0,0.0,0.0,1.0,1.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0,宜宾市,7516818.0,61785.0,9.15,False,True,555.0,6.318968113746434,6.34,51.06,42.6,四川省,2020-01-24 00:00:00.000000000,四川,0,1,0,0,1,66.1,172.0,9022.0,692.0,9.0,1.300578034682081,0.5600000000000023,48.21,51.23,男,四川省南充市仪陇县,1983-01-01 00:00:00.000000000,1.0,1995-09-01 00:00:00.000000000,四川,0.0,1,0,1,0,37.0,24.0,0,宜宾,1.117989189189189,1.3606945945945927
四川省,511300,南充市,2016-7,1962-6,宋朝华,57,0,,,3,0.0,0.0,2.0,2.0,4.0,5.0,9.0,11.0,16.0,23.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,0,南充市,6692215.0,6421762.0,8.82,False,True,733.0,6.597145701886651,13.05,43.99,42.96,四川省,2020-01-24 00:00:00.000000000,四川,0,1,0,0,1,66.1,112.0,13077.0,722.0,12.0,1.662049861495845,0.19000000000000483,39.98,59.83,男,四川省成都市邛崃市,1983-05-01 00:00:00.000000000,1.0,1983-07-01 00:00:00.000000000,四川,0.0,1,1,0,0,36.0,36.0,0,南充,1.1803621621621607,1.6049621621621624
四川省,511000,内江市,2016-7,1964-10,马波,55,1,-12.0,2020-02-06 00:00:00.000000000,3,0.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,10.0,11.0,12.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,18.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0,内江市,4772911.0,36639.0,7.57,False,True,415.0,6.028278520230698,13.9,44.3,41.8,四川省,2020-01-24 00:00:00.000000000,四川,0,1,0,0,1,66.1,72.0,5507.0,317.0,14.0,4.416403785488959,0.28000000000000114,50.86,48.86,男,重庆市,1986-05-01 00:00:00.000000000,1.0,1982-08-01 00:00:00.000000000,重庆,0.0,0,0,1,0,33.0,37.0,0,内江,1.279567567567566,1.5587324324324316
河南省,411200,三门峡市,2016-8,1963-10,刘南昌,56,0,,,3,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,三门峡市,4316182.0,64155.0,10.2,False,True,228.0,5.429345628954441,5.85,45.02,49.12,河南省,2020-01-25 00:00:00.000000000,河南,0,0,1,0,2,55.64,51.0,5297.0,501.0,14.0,2.7944111776447107,0.29999999999999716,50.95,48.75,男,河南省濮阳市隆回县,1985-04-01 00:00:00.000000000,1.0,1987-07-01 00:00:00.000000000,河南,0.0,1,0,0,1,34.0,32.0,0,三门峡,1.8860351351351368,1.9399918918918917
河南省,411400,商丘市,2016-8,1965-2,王战营,54,0,,,3,0.0,0.0,0.0,6.0,7.0,14.0,18.0,27.0,29.0,36.0,50.0,60.0,61.0,65.0,72.0,76.0,82.0,83.0,86.0,86.0,87.0,88.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0,商丘市,4793000.0,26550.0,6.3,False,True,987.0,6.894670039433482,14.01,43.97,42.02,河南省,2020-01-25 00:00:00.000000000,河南,0,0,1,0,2,55.64,79.0,14756.0,1350.0,26.0,1.925925925925926,0.10999999999999943,46.88,53.01,男,河南省许昌市禹州市,1984-12-01 00:00:00.000000000,2.0,1993-01-01 00:00:00.000000000,河南,1.0,1,0,1,0,35.0,27.0,0,商丘,2.353191891891892,2.76911891891892
贵州省,520600,铜仁市,2016-8,1970-1,陈昌旭,50,0,,,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,铜仁市,2077400.0,47300.0,12.43,False,True,440.0,6.0867747269123065,11.48,39.59,48.93,贵州省,2020-01-24 00:00:00.000000000,贵州,0,1,0,0,1,35.3,99.0,6432.0,550.0,6.0,1.090909090909091,0.4200000000000017,14.0,85.58,男,贵州省遵义市绥阳县,1990-10-01 00:00:00.000000000,1.0,1988-12-01 00:00:00.000000000,贵州,0.0,1,0,1,0,29.0,31.0,0,铜仁,0.6792486486486471,1.186170270270269
安徽省,340600,淮北市,2016-8,1965-2,黄晓武,54,1,-14.0,2020-02-09 00:00:00.000000000,3,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,11.0,14.0,17.0,22.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0,淮北市,6229180.0,59210.0,6.89,False,True,217.0,5.37989735354046,3.44,58.86,37.7,安徽省,2020-01-24 00:00:00.000000000,安徽,0,1,0,0,1,36.14,69.0,4524.0,738.0,18.0,2.4390243902439024,0.0,63.08,36.92,男,安徽省安庆市怀宁县,1986-06-01 00:00:00.000000000,1.0,1983-07-01 00:00:00.000000000,安徽,0.0,1,0,1,0,33.0,36.0,0,淮北,2.196202702702704,2.3629648648648653
福建省,350700,南平市,2016-9,1964-3,袁毅,55,0,,,3,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,8.0,8.0,11.0,11.0,12.0,12.0,12.0,14.0,16.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0,南平市,5263855.0,66739.0,6.4,False,True,319.0,5.765191102784844,13.13,48.34,38.53,福建省,2020-01-24 00:00:00.000000000,福建,0,1,0,0,1,35.3,51.0,5382.0,1089.0,44.0,4.040404040404041,2.760000000000005,37.19,60.05,男,甘肃省白银市会宁县,1984-06-01 00:00:00.000000000,2.0,1986-07-01 00:00:00.000000000,甘肃,1.0,0,0,0,1,35.0,33.0,0,南平,1.5804081081081094,1.6824864864864877
辽宁省,210800,营口市,2016-9,1961-1,赵长富,59,0,,,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,营口市,8078204.0,73693.0,4.68,False,True,232.0,5.44673737166631,2.75,42.0,55.25,辽宁省,2020-01-25 00:00:00.000000000,辽宁,0,0,1,0,2,60.3,126.0,5952.0,576.0,94.0,16.319444444444446,0.35999999999999943,34.53,65.11,男,辽宁,1982-07-01 00:00:00.000000000,2.0,1983-08-01 00:00:00.000000000,辽宁,1.0,1,1,0,0,37.0,36.0,0,营口,1.2593324324324304,1.1964972972972974
江西省,360500,新余市,2016-9,1968-1,蒋斌,52,1,-13.0,2020-02-06 00:00:00.000000000,3,1.0,1.0,1.0,3.0,3.0,11.0,11.0,28.0,40.0,43.0,50.0,59.0,69.0,78.0,87.0,95.0,100.0,105.0,110.0,117.0,121.0,124.0,127.0,129.0,129.0,129.0,129.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,0,新余市,7565744.0,87546.0,8.4,False,True,122.0,4.804021044733257,4.64,52.82,42.54,江西省,2020-01-24 00:00:00.000000000,江西,0,1,0,0,1,32.02,14.0,4201.0,369.0,17.0,4.607046070460704,0.2600000000000051,62.05,37.69,男,安徽省马鞍山市含山县,1988-06-01 00:00:00.000000000,1.0,1989-03-26 03:38:10.909090944,安徽,0.0,0,0,1,0,31.0,30.0,0,新余,3.2769594594594595,3.3942243243243237
江西省,360800,吉安市,2016-9,1963-11,胡世忠,56,1,-13.0,2020-02-06 00:00:00.000000000,3,1.0,1.0,2.0,3.0,3.0,4.0,5.0,8.0,11.0,12.0,13.0,15.0,15.0,15.0,16.0,17.0,17.0,18.0,19.0,21.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0,吉安市,2531933.0,45796.0,8.87,False,True,536.0,6.284134161070802,6.73,44.99,48.27,江西省,2020-01-24 00:00:00.000000000,江西,0,1,0,0,1,32.02,57.0,8028.0,1222.0,88.0,7.201309328968904,2.009999999999998,48.85,49.14,男,江苏省常州市武进区,1983-06-01 00:00:00.000000000,2.0,1989-05-01 00:00:00.000000000,江苏,1.0,0,0,1,0,36.0,30.0,0,吉安,1.6348054054054069,1.9554729729729745
河南省,410300,洛阳市,2017-1,1963-9,李亚,56,0,,,3,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,7.0,12.0,17.0,21.0,24.0,25.0,25.0,27.0,28.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0,洛阳市,16555755.0,75677.0,9.2,False,True,737.0,6.602587892189336,1.07,37.74,61.18,河南省,2020-01-25 00:00:00.000000000,河南,0,0,1,0,2,55.64,142.0,17586.0,1975.0,47.0,2.3797468354430378,0.13000000000000256,48.72,51.15,男,河南省商丘市永城市,1983-10-01 00:00:00.000000000,2.0,1980-12-01 00:00:00.000000000,河南,1.0,1,0,0,1,36.0,39.0,0,洛阳,2.456524324324324,2.4980081081081082
云南省,530900,临沧市,2017-1,1965-1,杨浩东,55,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,临沧市,1065841.0,31627.0,10.0,False,True,239.0,5.476463551931511,15.09,34.02,50.89,云南省,2020-01-24 00:00:00.000000000,云南,0,1,0,0,1,30.69,53.0,3315.0,173.0,2.0,1.1560693641618496,6.700000000000003,28.84,64.46,男,云南省大理白族自治州大理市,1985-05-01 00:00:00.000000000,1.0,1986-07-01 00:00:00.000000000,云南,0.0,1,0,1,0,34.0,33.0,0,临沧,0.5038864864864854,0.7475108108108106
西藏自治区,540100,拉萨市,2017-1,1967-2,白玛旺堆,53,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,拉萨市,2878800.0,,,False,True,54.0,3.9889840465642745,1.64,33.09,65.28,西藏自治区,,西藏,0,0,0,0,0,35.26,28.0,2552.0,76.0,3.0,3.9473684210526314,32.49999999999999,16.62,50.88,男,西藏自治区昌都市芒康县,1991-10-01 00:00:00.000000000,1.0,1987-07-01 00:00:00.000000000,西藏,0.0,1,0,1,0,28.0,32.0,0,拉萨,1.2769270270270272,1.0667054054054066
湖北省,420500,宜昌市,2017-1,1964-5,周霁,55,1,0.0,2020-01-24 00:00:00.000000000,3,1.0,1.0,20.0,31.0,51.0,63.0,117.0,167.0,276.0,353.0,392.0,452.0,496.0,563.0,610.0,633.0,711.0,749.0,772.0,784.0,810.0,877.0,906.0,901.0,895.0,904.0,907.0,891.0,895.0,914.0,917.0,924.0,926.0,927.0,929.0,931.0,931.0,0,宜昌市,16525000.0,112313.0,4.1,False,True,392.0,5.971261839790462,4.76,55.96,39.28,湖北省,2020-01-24 00:00:00.000000000,湖北,0,1,0,0,1,56.66,91.0,10919.0,1169.0,54.0,4.619332763045338,0.37999999999999545,53.95,45.67,男,湖北省襄阳市,1988-11-01 00:00:00.000000000,2.0,1984-07-01 00:00:00.000000000,湖北,1.0,1,0,1,0,31.0,35.0,0,宜昌,3.1055162162162158,3.1430810810810823
四川省,511800,雅安市,2017-11,1961-4,兰开驰,58,0,,,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,雅安市,2398237.0,37833.0,8.6,False,True,154.0,5.0369526024136295,14.92,37.58,47.5,四川省,2020-01-24 00:00:00.000000000,四川,0,1,0,0,1,66.1,44.0,3941.0,314.0,8.0,2.547770700636943,0.6499999999999915,29.84,69.51,男,四川省绵阳市三台县,1984-08-01 00:00:00.000000000,1.0,1980-08-01 00:00:00.000000000,四川,0.0,1,0,1,0,35.0,39.0,0,雅安,1.2390432432432452,1.34672162162162
安徽省,340300,蚌埠市,2017-12,1962-1,汪莹纯,58,0,,,2,1.0,1.0,1.0,3.0,3.0,3.0,8.0,15.0,16.0,26.0,37.0,43.0,48.0,64.0,88.0,99.0,115.0,126.0,134.0,141.0,146.0,149.0,153.0,157.0,158.0,158.0,159.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0,蚌埠市,8445969.0,46538.0,9.4,False,True,381.0,5.942799375126701,3.04,49.47,47.49,安徽省,2020-01-24 00:00:00.000000000,安徽,0,1,0,0,1,36.14,81.0,6297.0,1115.0,40.0,3.587443946188341,0.14999999999999858,42.51,57.34,男,安徽省安庆市宿松县,1985-07-01 00:00:00.000000000,2.0,1982-08-01 00:00:00.000000000,安徽,1.0,1,1,0,0,34.0,37.0,0,蚌埠,2.4526324324324325,2.693962162162164
安徽省,340500,马鞍山市,2017-12,1964-5,张岳峰,55,0,,,2,0.0,4.0,7.0,7.0,10.0,11.0,14.0,14.0,22.0,27.0,28.0,28.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,34.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0,马鞍山市,10425427.0,108939.0,8.9,False,True,229.0,5.43372200355424,1.2,53.91,44.88,安徽省,2020-01-24 00:00:00.000000000,安徽,0,1,0,0,1,36.14,62.0,4756.0,1054.0,59.0,5.597722960151803,0.3200000000000003,52.49,47.19,男,安徽省安庆市潜山县,1991-06-01 00:00:00.000000000,1.0,1985-07-01 00:00:00.000000000,安徽,0.0,1,1,0,0,28.0,34.0,0,马鞍山,1.662191891891892,1.7101216216216226
河南省,410200,开封市,2017-12,1967-1,侯红,53,0,,,2,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,8.0,11.0,11.0,12.0,17.0,18.0,20.0,21.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,开封市,6887402.0,42413.0,7.0,False,True,559.0,6.326149473155099,9.83,34.99,55.18,河南省,2020-01-25 00:00:00.000000000,河南,0,0,1,0,2,55.64,105.0,11280.0,1347.0,32.0,2.3756495916852263,0.12999999999999545,54.17,45.7,女,河南省南阳市社旗县,1987-08-01 00:00:00.000000000,1.0,1990-05-01 00:00:00.000000000,河南,0.0,1,0,1,0,32.0,29.0,1,开封,2.4164351351351363,2.57561891891892
河南省,410400,平顶山市,2017-12,1962-6,周斌,57,0,,,2,0.0,1.0,2.0,5.0,5.0,5.0,8.0,10.0,11.0,14.0,19.0,28.0,34.0,41.0,46.0,48.0,50.0,52.0,54.0,55.0,56.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0,平顶山市,5649429.0,52117.0,10.3,False,True,567.0,6.340359303727752,1.03,51.9,47.07,河南省,2020-01-25 00:00:00.000000000,河南,0,0,1,0,2,55.64,87.0,11355.0,885.0,22.0,2.4858757062146895,0.0799999999999983,54.64,45.28,男,河南省周口市太康县,1990-10-01 00:00:00.000000000,1.0,1983-07-01 00:00:00.000000000,河南,0.0,1,0,1,0,29.0,36.0,0,平顶山,2.438097297297297,2.5839135135135125
海南省,460400,儋州市,2017-12,1966-4,袁光平,53,0,,,2,0.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,儋州市,3229700.0,,8.2,False,True,96.0,4.564348191467836,38.3,13.1,48.6,海南省,2020-01-25 00:00:00.000000000,海南,0,0,1,0,2,32.74,22.0,1680.0,18.0,3.0,16.666666666666664,43.762575999999996,11.730382,44.507042,男,重庆市,1986-10-01 00:00:00.000000000,1.0,1990-07-01 00:00:00.000000000,重庆,0.0,0,0,0,1,33.0,29.0,0,儋州,1.7090945945945943,1.779010810810811
贵州省,520200,六盘水市,2017-12,1964-3,王忠,55,0,,,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,六盘水市,4673400.0,77055.0,11.0,False,True,342.0,5.834810737062605,1.35,46.61,52.04,贵州省,2020-01-24 00:00:00.000000000,贵州,0,1,0,0,1,35.3,111.0,5106.0,452.0,5.0,1.1061946902654867,0.2700000000000031,46.0,53.73,男,贵州省仁怀市,1983-04-01 00:00:00.000000000,1.0,1984-01-01 00:00:00.000000000,贵州,0.0,1,0,1,0,36.0,36.0,0,六盘水,1.0307972972972983,1.2668972972972992
山西省,140500,晋城市,2017-12,1964-9,张志川,55,0,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,晋城市,2681085.0,54209.0,6.5,False,True,221.0,5.3981627015177525,0.26,30.34,69.4,山西省,2020-01-25 00:00:00.000000000,山西,0,0,1,0,2,31.47,83.0,5730.0,259.0,15.0,5.7915057915057915,0.37999999999999545,61.67,37.95,男,河南省荥阳市,1997-06-01 00:00:00.000000000,2.0,1982-07-01 00:00:00.000000000,河南,1.0,0,0,0,1,22.0,37.0,0,晋城,2.6890783783783783,2.6515324324324325
浙江省,330200,宁波市,2017-12,1961-11,郑栅洁,58,1,-11.0,2020-02-04 00:00:00.000000000,2,5.0,6.0,13.0,13.0,17.0,20.0,41.0,46.0,55.0,66.0,75.0,102.0,120.0,126.0,136.0,141.0,146.0,149.0,151.0,153.0,153.0,153.0,154.0,155.0,156.0,156.0,156.0,156.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,1,宁波市,62826874.0,150990.0,6.8,False,True,597.0,6.391917113392602,1.5,49.53,48.97,浙江省,2020-01-23 00:00:00.000000000,浙江,1,0,0,0,0,66.3,154.0,24268.0,7500.0,1468.0,19.573333333333334,0.01999999999999602,61.02,38.96,男,福建省漳州市,1985-06-01 00:00:00.000000000,1.0,1982-08-01 00:00:00.000000000,福建,0.0,0,0,1,0,34.0,37.0,0,宁波,2.2651729729729726,1.7604891891891883
河南省,411700,驻马店市,2017-12,1965-2,陈星,54,1,-10.0,2020-02-04 00:00:00.000000000,2,0.0,2.0,7.0,9.0,10.0,16.0,25.0,30.0,40.0,46.0,58.0,72.0,82.0,98.0,106.0,113.0,116.0,123.0,126.0,128.0,134.0,137.0,138.0,138.0,138.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,0,驻马店市,3668609.0,37230.0,8.2,False,True,961.0,6.8679744089702925,7.31,46.95,45.74,河南省,2020-01-25 00:00:00.000000000,河南,0,0,1,0,2,55.64,79.0,12896.0,1715.0,29.0,1.6909620991253644,0.8699999999999974,44.74,54.39,男,河南省商丘市虞城县,1985-06-01 00:00:00.000000000,1.0,1989-08-01 00:00:00.000000000,河南,0.0,1,0,1,0,34.0,30.0,0,驻马店,2.4254891891891908,2.866327027027028
湖北省,420900,孝感市,2017-12,1965-1,潘启胜,55,1,0.0,2020-01-24 00:00:00.000000000,2,22.0,26.0,55.0,100.0,173.0,274.0,399.0,541.0,628.0,749.0,918.0,1120.0,1462.0,1886.0,2141.0,2313.0,2436.0,2541.0,2642.0,2751.0,2874.0,3009.0,3114.0,3201.0,3279.0,3320.0,3344.0,3329.0,3346.0,3429.0,3443.0,3465.0,3482.0,3501.0,3516.0,3517.0,3518.0,0,孝感市,3164822.0,34067.0,7.5,False,True,519.0,6.251903883165888,10.17,46.23,43.59,湖北省,2020-01-24 00:00:00.000000000,湖北,0,1,0,0,1,56.66,56.0,8781.0,1186.0,54.0,4.5531197301854975,1.0500000000000043,54.91,44.04,男,湖北省鄂州市,1992-04-01 00:00:00.000000000,1.0,1986-04-18 23:15:41.538461568,湖北,0.0,1,0,1,0,27.0,33.0,0,孝感,2.6960189189189188,2.9341324324324316
浙江省,330900,舟山市,2017-2,1963-10,俞东来,56,0,,,2,1.0,2.0,2.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,舟山市,9165154.0,103796.0,8.7,False,True,97.0,4.574710978503383,7.67,34.21,58.13,浙江省,2020-01-23 00:00:00.000000000,浙江,1,0,0,0,0,66.3,30.0,3581.0,351.0,23.0,6.552706552706552,0.03999999999999204,33.2,66.76,男,浙江省杭州市,1986-11-01 00:00:00.000000000,1.0,1981-12-01 00:00:00.000000000,浙江,0.0,1,1,0,0,33.0,38.0,0,舟山,1.52171891891892,1.220489189189189
河南省,410700,新乡市,2017-2,1963-5,张国伟,56,0,,,2,0.0,1.0,3.0,4.0,6.0,7.0,11.0,15.0,21.0,21.0,27.0,33.0,39.0,41.0,41.0,43.0,44.0,46.0,48.0,53.0,54.0,55.0,55.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,0,新乡市,8005138.0,69375.0,8.03,False,True,647.0,6.472346294500901,0.93,42.89,56.17,河南省,2020-01-25 00:00:00.000000000,河南,0,0,1,0,2,55.64,115.0,14298.0,1240.0,50.0,4.032258064516129,0.07000000000000028,60.65,39.28,男,河南省南阳市西峡县,1984-11-01 00:00:00.000000000,1.0,1982-08-01 00:00:00.000000000,河南,0.0,1,0,1,0,35.0,37.0,0,新乡,2.640437837837836,2.686799999999999
河南省,411600,周口市,2017-2,1963-4,刘继标,56,0,,,2,1.0,4.0,5.0,11.0,15.0,19.0,25.0,36.0,38.0,40.0,47.0,52.0,56.0,59.0,60.0,62.0,62.0,65.0,65.0,66.0,68.0,69.0,70.0,71.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0,周口市,2360046.0,33019.0,6.6,False,True,1258.0,7.1372784372603855,3.63,49.87,46.49,河南省,2020-01-25 00:00:00.000000000,河南,0,0,1,0,2,55.64,140.0,16413.0,1274.0,22.0,1.726844583987441,0.17999999999999972,48.39,51.43,男,河南省洛阳市伊川县,1984-11-01 00:00:00.000000000,1.0,1995-08-01 00:00:00.000000000,河南,0.0,1,0,1,0,35.0,24.0,0,周口,2.195956756756758,2.774132432432433
新疆维吾尔自治区,652800,巴音郭楞蒙古自治州,2017-2,1963-3,李刚,56,0,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,False,,,,,,新疆维吾尔自治区,2020-01-25 00:00:00.000000000,新疆,0,0,1,0,2,73.45,,,,,,,,,,,,,,,,0,0,0,0,,,0,巴音郭楞蒙古自治州,2.6203216216216205,2.50448918918919
河北省,130700,张家口市,2017-2,1961-7,回建,58,0,,,2,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0,9.0,9.0,9.0,10.0,12.0,13.0,14.0,14.0,17.0,21.0,21.0,25.0,31.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,40.0,41.0,41.0,0,张家口市,7093733.0,41038.0,6.5,False,True,465.0,6.142037405587356,7.01,38.92,54.07,河北省,2020-01-24 00:00:00.000000000,河北,0,1,0,0,1,31.22,100.0,9401.0,446.0,31.0,6.950672645739911,0.5500000000000114,21.88,77.57,男,河北省沧州市沧县,1982-12-01 00:00:00.000000000,1.0,1981-01-01 00:00:00.000000000,河北,0.0,1,0,0,1,37.0,39.0,0,张家口,1.732981081081081,1.7526594594594609
