provincecode,provincename,citycode,ctnm,inaug_time,off_month,birthmonth,name,note,race,time_of_data_entry,rule_in_covid,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,cityCode,cityFullName,cityName,prov,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct
630000,青海省,632500,海南藏族自治州,2013-5,,1961-7,张文魁,,藏族,2020-07-21 17:00:00,True,58,False,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
620000,甘肃省,620500,天水市,2013-9,,1963-10,王锐,,汉族,2020-07-21 17:00:00,True,56,False,,,6,620500.0,天水市,天水,甘肃省,,,,,1.0,1.0,2.0,2.0,3.0,3.0,8.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0
650000,新疆维吾尔自治区,652900,阿克苏地区,2013-9,,1962-10,窦万贵,,汉族,2020-07-21 17:00:00,True,57,False,,,6,652900.0,阿克苏地区,阿克苏地区,新疆维吾尔自治区,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
620000,甘肃省,623000,甘南藏族自治州,2014-11,,1962-10,俞成辉,,汉族,2020-07-21 17:00:00,True,57,False,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
210000,辽宁省,211300,朝阳市,2014-3,,1964-5,蹇彪,,满族,2020-07-21 17:00:00,True,55,True,-12.0,2020-02-05 00:00:00,5,211300.0,朝阳市,朝阳,辽宁省,1.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0
430000,湖南省,431200,怀化市,2014-6,,1963-1,彭国甫,,汉族,2020-07-21 17:00:00,True,57,False,,,5,431200.0,怀化市,怀化,湖南省,3.0,5.0,8.0,11.0,16.0,18.0,23.0,26.0,28.0,31.0,32.0,35.0,35.0,36.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0
340000,安徽省,340400,淮南市,2014-8,,1961-6,沈强,,汉族,2020-07-21 17:00:00,True,58,False,,,5,340400.0,淮南市,淮南,安徽省,,,1.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0,8.0,12.0,12.0,14.0,21.0,22.0,23.0,24.0,24.0,23.0,23.0,23.0,24.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0
530000,云南省,530300,曲靖市,2015-10,,1962-10,李文荣,,汉族,2020-07-21 17:00:00,True,57,False,,,4,530300.0,曲靖市,曲靖,云南省,,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,6.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0
530000,云南省,532500,红河哈尼族彝族自治州,2015-10,,1965-5,姚国华,,汉族,2020-07-21 17:00:00,True,54,False,,,4,532500.0,红河哈尼族彝族自治州,红河州,云南省,,1.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
130000,河北省,130800,承德市,2015-10,,1963-11,周仲明,,汉族,2020-07-21 17:00:00,True,56,False,,,4,130800.0,承德市,承德,河北省,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0
210000,辽宁省,211000,辽阳市,2015-10,,1963-12,王凤波,,汉族,2020-07-21 17:00:00,True,56,True,-8.0,2020-02-05 00:00:00,4,211000.0,辽阳市,辽阳,辽宁省,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
450000,广西壮族自治区,450800,贵港市,2015-12,,1962-10,李新元,,汉族,2020-07-21 17:00:00,True,57,False,,,4,450800.0,贵港市,贵港,广西壮族自治区,,,,,,,,,,4.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0
450000,广西壮族自治区,451200,河池市,2015-12,,1962-9,何辛幸,,汉族,2020-07-21 17:00:00,True,57,False,,,4,451200.0,河池市,河池,广西壮族自治区,1.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,8.0,9.0,11.0,11.0,15.0,19.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,23.0,24.0,25.0,25.0,27.0,28.0,28.0,28.0,28.0,28.0,0
220000,吉林省,220800,白城市,2015-12,,1960-2,庞庆波,,汉族,2020-07-21 17:00:00,True,60,False,,,4,220800.0,白城市,白城,吉林省,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
340000,安徽省,341000,黄山市,2015-2,,1966-10,任泽锋,,汉族,2020-07-21 17:00:00,True,53,False,,,4,341000.0,黄山市,黄山,安徽省,,,1.0,1.0,4.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
410000,河南省,410900,濮阳市,2015-2,,1963-2,宋殿宇,,汉族,2020-07-21 17:00:00,True,57,False,,,4,410900.0,濮阳市,濮阳,河南省,,,,,,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,9.0,10.0,11.0,13.0,13.0,13.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0
510000,四川省,513400,凉山彝族自治州,2015-3,,1962-11,林书成,,汉族,2020-07-21 17:00:00,True,57,False,,,4,513400.0,凉山彝族自治州,凉山州,四川省,,,,1.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0
630000,青海省,632600,果洛藏族自治州,2015-3,,1963-7,武玉嶂,,汉族,2020-07-21 17:00:00,True,56,False,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
430000,湖南省,431000,郴州市,2015-4,,1962-5,易鹏飞,,汉族,2020-07-21 17:00:00,True,57,False,,,4,431000.0,郴州市,郴州,湖南省,1.0,1.0,3.0,6.0,7.0,7.0,10.0,12.0,13.0,18.0,21.0,22.0,24.0,25.0,29.0,31.0,32.0,32.0,33.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0
610000,陕西省,610400,咸阳市,2015-4,,1961-11,岳亮,,汉族,2020-07-21 17:00:00,True,58,False,,,4,610400.0,咸阳市,咸阳,陕西省,1.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,11.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0
360000,江西省,361000,抚州市,2015-4,,1962-5,肖毅,,汉族,2020-07-21 17:00:00,True,57,True,-13.0,2020-02-06 00:00:00,4,361000.0,抚州市,抚州,江西省,1.0,4.0,6.0,7.0,8.0,9.0,13.0,15.0,18.0,24.0,29.0,34.0,44.0,46.0,56.0,59.0,63.0,64.0,67.0,68.0,69.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0
630000,青海省,630100,西宁市,2015-5,,1968-5,王晓,,汉族,2020-07-21 17:00:00,True,51,False,,,4,630100.0,西宁市,西宁,青海省,,1.0,,6.0,6.0,6.0,6.0,8.0,9.0,9.0,12.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0
450000,广西壮族自治区,450100,南宁市,2015-5,,1962-1,王小东,,汉族,2020-07-21 17:00:00,True,58,True,-10.0,2020-02-05 00:00:00,4,450100.0,南宁市,南宁,广西壮族自治区,,,1.0,5.0,5.0,7.0,15.0,16.0,16.0,16.0,22.0,27.0,28.0,30.0,31.0,32.0,35.0,37.0,41.0,44.0,44.0,47.0,49.0,50.0,51.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,0
510000,四川省,513300,甘孜藏族自治州,2015-6,,1963-2,刘成鸣,,汉族,2020-07-21 17:00:00,True,57,False,,,4,513300.0,甘孜藏族自治州,甘孜州,四川省,,,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,8.0,10.0,12.0,17.0,17.0,17.0,23.0,27.0,36.0,37.0,43.0,44.0,50.0,57.0,62.0,65.0,67.0,68.0,69.0,69.0,69.0,69.0,71.0,74.0,78.0,78.0,0
610000,陕西省,610600,延安市,2015-6,,1962-4,徐新荣,,汉族,2020-07-21 17:00:00,True,57,False,,,4,610600.0,延安市,延安,陕西省,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0
630000,青海省,632700,玉树藏族自治州,2015-7,,1965-5,吴德军,,汉族,2020-07-21 17:00:00,True,54,False,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
630000,青海省,632800,海西蒙古族藏族自治州,2015-7,,1969-8,文国栋,,汉族,2020-07-21 17:00:00,True,50,False,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
360000,江西省,360700,赣州市,2015-7,,1963-2,李炳军,,汉族,2020-07-21 17:00:00,True,57,True,-12.0,2020-02-06 00:00:00,4,360700.0,赣州市,赣州,江西省,,2.0,7.0,7.0,10.0,16.0,21.0,27.0,30.0,34.0,35.0,42.0,48.0,52.0,59.0,64.0,69.0,71.0,72.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0
