provincecode,provincename,citycode,ctnm,inaug_time,off_month,birthmonth,name,note,race,time_of_data_entry,rule_in_covid,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,cityCode,cityFullName,cityName,prov,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct
130000,河北省,130900,沧州市,2016-11,,1965-7,杨慧,,汉族,2020-07-21 17:00:00,True,54,True,-16.0,2020-02-09 00:00:00,3,130900.0,沧州市,沧州,河北省,1.0,2.0,2.0,2.0,5.0,8.0,12.0,18.0,19.0,19.0,19.0,20.0,20.0,21.0,23.0,28.0,28.0,28.0,32.0,37.0,42.0,45.0,46.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,0
140000,山西省,140200,大同市,2016-11,,1964-9,张吉福,,汉族,2020-07-21 17:00:00,True,55,False,,,3,140200.0,大同市,大同,山西省,,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0
140000,山西省,141100,吕梁市,2016-11,,1962-8,李正印,,汉族,2020-07-21 17:00:00,True,57,False,,,3,141100.0,吕梁市,吕梁,山西省,,,,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0
150000,内蒙古自治区,150200,包头市,2016-11,,1959-11,张院忠,,汉族,2020-07-21 17:00:00,True,60,True,-17.0,2020-02-13 00:00:00,3,150200.0,包头市,包头,内蒙古自治区,,,,2.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,7.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0
230000,黑龙江省,231200,绥化市,2016-12,,1963-6,曲敏,,汉族,2020-07-21 17:00:00,True,56,False,,,3,231200.0,绥化市,绥化,黑龙江省,1.0,1.0,2.0,3.0,8.0,8.0,10.0,12.0,13.0,14.0,16.0,22.0,24.0,29.0,39.0,44.0,35.0,37.0,39.0,43.0,45.0,45.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,0
340000,安徽省,341300,宿州市,2016-12,,1963-11,史翔,,汉族,2020-07-21 17:00:00,True,56,False,,,3,341300.0,宿州市,宿州,安徽省,,,2.0,3.0,3.0,9.0,10.0,10.0,12.0,14.0,21.0,23.0,24.0,25.0,27.0,28.0,28.0,31.0,33.0,36.0,38.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,0
410000,河南省,411300,南阳市,2016-12,,1961-9,张文深,,汉族,2020-07-21 17:00:00,True,58,False,,,3,411300.0,南阳市,南阳,河南省,,8.0,15.0,19.0,26.0,31.0,51.0,61.0,66.0,62.0,84.0,99.0,107.0,111.0,118.0,128.0,133.0,134.0,136.0,138.0,145.0,146.0,150.0,151.0,154.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,156.0,156.0,156.0,0
430000,湖南省,430800,张家界市,2016-12,,1964-9,虢正贵,,汉族,2020-07-21 17:00:00,True,55,False,,,3,430800.0,张家界市,张家界,湖南省,,,,,,,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0
430000,湖南省,430900,益阳市,2016-12,,1966-1,瞿海,,汉族,2020-07-21 17:00:00,True,54,False,,,3,430900.0,益阳市,益阳,湖南省,,4.0,4.0,7.0,10.0,14.0,17.0,20.0,24.0,27.0,30.0,35.0,40.0,41.0,43.0,44.0,46.0,53.0,54.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,0
650000,新疆维吾尔自治区,653100,喀什地区,2016-12,,1965-3,李宁平,,汉族,2020-07-21 17:00:00,True,54,False,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
150000,内蒙古自治区,150300,乌海市,2016-12,,1963-4,史万钧,,蒙古族,2020-07-21 17:00:00,True,56,True,-11.0,2020-02-13 00:00:00,3,150300.0,乌海市,乌海,内蒙古自治区,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
150000,内蒙古自治区,150600,鄂尔多斯市,2016-12,,1962-1,牛俊雁,,汉族,2020-07-21 17:00:00,True,58,True,-19.0,2020-02-13 00:00:00,3,150600.0,鄂尔多斯市,鄂尔多斯,内蒙古自治区,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0
230000,黑龙江省,230400,鹤岗市,2016-12,,1970-1,张恩亮,,满族,2020-07-21 17:00:00,True,50,False,,,3,230400.0,鹤岗市,鹤岗,黑龙江省,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0
420000,湖北省,420300,十堰市,2016-12,,1963-10,张维国,,汉族,2020-07-21 17:00:00,True,56,True,0.0,2020-01-24 00:00:00,3,420300.0,十堰市,十堰,湖北省,1.0,5.0,20.0,40.0,65.0,88.0,119.0,150.0,177.0,212.0,256.0,291.0,318.0,353.0,395.0,438.0,467.0,481.0,505.0,536.0,562.0,586.0,597.0,602.0,612.0,626.0,638.0,641.0,654.0,659.0,667.0,669.0,671.0,671.0,671.0,671.0,671.0,0
510000,四川省,510800,广元市,2016-2,,1963-10,王菲,,汉族,2020-07-21 17:00:00,True,56,False,,,4,510800.0,广元市,广元,四川省,,,,,,1.0,3.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0
510000,四川省,511100,乐山市,2016-2,,1963-6,彭琳,,汉族,2020-07-21 17:00:00,True,56,False,,,4,511100.0,乐山市,乐山,四川省,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
510000,四川省,511700,达州市,2016-2,,1963-8,包惠,,汉族,2020-07-21 17:00:00,True,56,False,,,4,511700.0,达州市,达州,四川省,1.0,1.0,1.0,3.0,3.0,4.0,6.0,8.0,9.0,9.0,11.0,13.0,17.0,20.0,23.0,25.0,25.0,28.0,30.0,33.0,36.0,36.0,36.0,36.0,38.0,39.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,0
230000,黑龙江省,230200,齐齐哈尔市,2016-2,,1963-4,孙珅,,汉族,2020-07-21 17:00:00,True,56,False,,,4,230200.0,齐齐哈尔市,齐齐哈尔,黑龙江省,,,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,20.0,26.0,27.0,27.0,27.0,30.0,32.0,33.0,33.0,36.0,36.0,38.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,0
440000,广东省,440600,佛山市,2016-2,,1964-10,鲁毅,,汉族,2020-07-21 17:00:00,True,55,True,-15.0,2020-02-08 00:00:00,4,440600.0,佛山市,佛山,广东省,7.0,9.0,10.0,14.0,18.0,21.0,25.0,33.0,39.0,43.0,45.0,49.0,50.0,57.0,59.0,64.0,67.0,70.0,70.0,78.0,81.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,0
530000,云南省,530500,保山市,2016-3,,1962-5,赵德光,,彝族,2020-07-21 17:00:00,True,57,False,,,3,530500.0,保山市,保山,云南省,,,2.0,3.0,4.0,4.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
150000,内蒙古自治区,152200,兴安盟,2016-3,,1967-12,张恩惠,,汉族,2020-07-21 17:00:00,True,52,True,-17.0,2020-02-13 00:00:00,3,152200.0,兴安盟,兴安盟,内蒙古自治区,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
150000,内蒙古自治区,152500,锡林郭勒盟,2016-3,,1962-5,罗虎在,,汉族,2020-07-21 17:00:00,True,57,True,-18.0,2020-02-13 00:00:00,3,152500.0,锡林郭勒盟,锡林郭勒盟,内蒙古自治区,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,6.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
360000,江西省,360300,萍乡市,2016-3,,1968-8,李小豹,,汉族,2020-07-21 17:00:00,True,51,True,-13.0,2020-02-06 00:00:00,3,360300.0,萍乡市,萍乡,江西省,1.0,1.0,2.0,2.0,2.0,2.0,5.0,8.0,9.0,15.0,18.0,20.0,22.0,23.0,24.0,24.0,24.0,25.0,26.0,29.0,29.0,31.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0
340000,安徽省,340800,安庆市,2016-4,,1964-12,魏晓明,,汉族,2020-07-21 17:00:00,True,55,False,,,3,340800.0,安庆市,安庆,安徽省,1.0,4.0,5.0,8.0,8.0,14.0,18.0,18.0,31.0,43.0,47.0,55.0,56.0,60.0,66.0,71.0,75.0,78.0,80.0,80.0,80.0,81.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,0
340000,安徽省,341600,亳州市,2016-4,,1965-3,汪一光,,汉族,2020-07-21 17:00:00,True,54,False,,,3,341600.0,亳州市,亳州,安徽省,1.0,4.0,6.0,6.0,8.0,15.0,20.0,20.0,25.0,30.0,39.0,48.0,58.0,66.0,72.0,81.0,87.0,92.0,92.0,97.0,100.0,106.0,107.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,0
430000,湖南省,430200,株洲市,2016-4,,1962-9,毛腾飞,,汉族,2020-07-21 17:00:00,True,57,False,,,3,430200.0,株洲市,株洲,湖南省,1.0,1.0,3.0,5.0,7.0,13.0,18.0,19.0,22.0,25.0,26.0,34.0,38.0,41.0,46.0,48.0,58.0,61.0,68.0,71.0,75.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0
430000,湖南省,430300,湘潭市,2016-4,,1964-5,曹炯芳,,汉族,2020-07-21 17:00:00,True,55,False,,,3,430300.0,湘潭市,湘潭,湖南省,1.0,2.0,3.0,4.0,6.0,8.0,9.0,10.0,13.0,16.0,19.0,21.0,23.0,24.0,25.0,28.0,28.0,31.0,32.0,32.0,32.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0
430000,湖南省,430500,邵阳市,2016-4,,1961-10,龚文密,,汉族,2020-07-21 17:00:00,True,58,False,,,3,430500.0,邵阳市,邵阳,湖南省,,2.0,2.0,8.0,11.0,19.0,29.0,36.0,41.0,49.0,51.0,55.0,68.0,74.0,83.0,86.0,87.0,89.0,91.0,94.0,99.0,100.0,100.0,101.0,101.0,101.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0
360000,江西省,361100,上饶市,2016-4,,1962-11,马承祖,,汉族,2020-07-21 17:00:00,True,57,True,-12.0,2020-02-06 00:00:00,3,361100.0,上饶市,上饶,江西省,,2.0,6.0,6.0,7.0,9.0,11.0,12.0,16.0,19.0,32.0,50.0,69.0,78.0,86.0,92.0,98.0,103.0,111.0,116.0,119.0,122.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,0
410000,河南省,410500,安阳市,2016-5,,1962-3,李公乐,,汉族,2020-07-21 17:00:00,True,57,False,,,3,410500.0,安阳市,安阳,河南省,,,3.0,7.0,11.0,14.0,16.0,20.0,24.0,24.0,29.0,33.0,35.0,37.0,40.0,43.0,44.0,45.0,46.0,49.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,0
410000,河南省,410800,焦作市,2016-5,,1962-11,王小平,,汉族,2020-07-21 17:00:00,True,57,False,,,3,410800.0,焦作市,焦作,河南省,,,,,2.0,2.0,2.0,2.0,2.0,7.0,8.0,12.0,15.0,17.0,18.0,20.0,24.0,25.0,28.0,28.0,29.0,29.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
450000,广西壮族自治区,451300,来宾市,2016-5,,1965-8,农生文,,壮族,2020-07-21 17:00:00,True,54,False,,,3,451300.0,来宾市,来宾,广西壮族自治区,,,,,,,,,,,,,,1.0,1.0,3.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0
410000,河南省,411500,信阳市,2016-5,,1961-10,乔新江,,汉族,2020-07-21 17:00:00,True,58,True,-13.0,2020-02-06 00:00:00,3,411500.0,信阳市,信阳,河南省,1.0,5.0,22.0,23.0,29.0,32.0,42.0,49.0,70.0,88.0,99.0,112.0,138.0,164.0,176.0,192.0,205.0,220.0,228.0,231.0,240.0,243.0,252.0,261.0,262.0,266.0,268.0,269.0,270.0,273.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,0
440000,广东省,440700,江门市,2016-6,,1963-1,林应武,,汉族,2020-07-21 17:00:00,True,57,False,,,3,440700.0,江门市,江门,广东省,,,,,,1.0,1.0,2.0,3.0,3.0,4.0,6.0,7.0,9.0,14.0,15.0,19.0,20.0,20.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0
540000,西藏自治区,540200,日喀则市,2016-6,,1964-6,张延清,,藏族,2020-07-21 17:00:00,True,55,False,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
540000,西藏自治区,540400,林芝市,2016-6,,1961-12,马升昌,,汉族,2020-07-21 17:00:00,True,58,False,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
130000,河北省,131000,廊坊市,2016-6,,1965-9,冯韶慧,,汉族,2020-07-21 17:00:00,True,54,False,,,3,131000.0,廊坊市,廊坊,河北省,,,,2.0,6.0,9.0,9.0,9.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,20.0,22.0,24.0,26.0,28.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0
510000,四川省,511500,宜宾市,2016-6,,1962-11,刘中伯,,汉族,2020-07-21 17:00:00,True,57,True,-10.0,2020-02-06 00:00:00,3,511500.0,宜宾市,宜宾,四川省,,,,1.0,1.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0
510000,四川省,511300,南充市,2016-7,,1962-6,宋朝华,,汉族,2020-07-21 17:00:00,True,57,False,,,3,511300.0,南充市,南充,四川省,,,2.0,2.0,4.0,5.0,9.0,11.0,16.0,23.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,0
510000,四川省,511000,内江市,2016-7,,1964-10,马波,,汉族,2020-07-21 17:00:00,True,55,True,-12.0,2020-02-06 00:00:00,3,511000.0,内江市,内江,四川省,,1.0,1.0,1.0,3.0,4.0,4.0,6.0,10.0,11.0,12.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,18.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0
410000,河南省,411200,三门峡市,2016-8,,1963-10,刘南昌,,汉族,2020-07-21 17:00:00,True,56,False,,,3,411200.0,三门峡市,三门峡,河南省,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0
410000,河南省,411400,商丘市,2016-8,,1965-2,王战营,,汉族,2020-07-21 17:00:00,True,54,False,,,3,411400.0,商丘市,商丘,河南省,,,,6.0,7.0,14.0,18.0,27.0,29.0,36.0,50.0,60.0,61.0,65.0,72.0,76.0,82.0,83.0,86.0,86.0,87.0,88.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0
520000,贵州省,520600,铜仁市,2016-8,,1970-1,陈昌旭,,汉族,2020-07-21 17:00:00,True,50,False,,,3,520600.0,铜仁市,铜仁,贵州省,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
340000,安徽省,340600,淮北市,2016-8,,1965-2,黄晓武,,汉族,2020-07-21 17:00:00,True,54,True,-14.0,2020-02-09 00:00:00,3,340600.0,淮北市,淮北,安徽省,,,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,11.0,14.0,17.0,22.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0
350000,福建省,350700,南平市,2016-9,,1964-3,袁毅,,汉族,2020-07-21 17:00:00,True,55,False,,,3,350700.0,南平市,南平,福建省,,,1.0,2.0,3.0,3.0,3.0,3.0,8.0,8.0,11.0,11.0,12.0,12.0,12.0,14.0,16.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0
210000,辽宁省,210800,营口市,2016-9,,1961-1,赵长富,,汉族,2020-07-21 17:00:00,True,59,False,,,3,210800.0,营口市,营口,辽宁省,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
360000,江西省,360500,新余市,2016-9,,1968-1,蒋斌,,汉族,2020-07-21 17:00:00,True,52,True,-13.0,2020-02-06 00:00:00,3,360500.0,新余市,新余,江西省,1.0,1.0,1.0,3.0,3.0,11.0,11.0,28.0,40.0,43.0,50.0,59.0,69.0,78.0,87.0,95.0,100.0,105.0,110.0,117.0,121.0,124.0,127.0,129.0,129.0,129.0,129.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,0
360000,江西省,360800,吉安市,2016-9,,1963-11,胡世忠,,汉族,2020-07-21 17:00:00,True,56,True,-13.0,2020-02-06 00:00:00,3,360800.0,吉安市,吉安,江西省,1.0,1.0,2.0,3.0,3.0,4.0,5.0,8.0,11.0,12.0,13.0,15.0,15.0,15.0,16.0,17.0,17.0,18.0,19.0,21.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0
410000,河南省,410300,洛阳市,2017-1,,1963-9,李亚,,汉族,2020-07-21 17:00:00,True,56,False,,,3,410300.0,洛阳市,洛阳,河南省,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,7.0,12.0,17.0,21.0,24.0,25.0,25.0,27.0,28.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0
530000,云南省,530900,临沧市,2017-1,,1965-1,杨浩东,,汉族,2020-07-21 17:00:00,True,55,False,,,3,530900.0,临沧市,临沧,云南省,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
530000,云南省,532900,大理白族自治州,2017-1,,1961-6,陈坚,,汉族,2020-07-21 17:00:00,True,58,False,,,3,532900.0,大理白族自治州,大理州,云南省,,,,,,,,,,,,,,,,,,,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0
540000,西藏自治区,540100,拉萨市,2017-1,,1967-2,白玛旺堆,,藏族,2020-07-21 17:00:00,True,53,False,,,3,540100.0,拉萨市,拉萨,西藏自治区,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
420000,湖北省,420500,宜昌市,2017-1,,1964-5,周霁,,汉族,2020-07-21 17:00:00,True,55,True,0.0,2020-01-24 00:00:00,3,420500.0,宜昌市,宜昌,湖北省,1.0,1.0,20.0,31.0,51.0,63.0,117.0,167.0,276.0,353.0,392.0,452.0,496.0,563.0,610.0,633.0,711.0,749.0,772.0,784.0,810.0,877.0,906.0,901.0,895.0,904.0,907.0,891.0,895.0,914.0,917.0,924.0,926.0,927.0,929.0,931.0,931.0,0
650000,新疆维吾尔自治区,653000,克孜勒苏柯尔克孜自治州,2017-10,,1963-10,安征宇,,汉族,2020-07-21 17:00:00,True,56,False,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
510000,四川省,511800,雅安市,2017-11,,1961-4,兰开驰,,汉族,2020-07-21 17:00:00,True,58,False,,,2,511800.0,雅安市,雅安,四川省,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0
420000,湖北省,422800,恩施土家族苗族自治州,2017-11,,1965-8,柯俊,,汉族,2020-07-21 17:00:00,True,54,True,0.0,2020-01-24 00:00:00,2,422800.0,恩施土家族苗族自治州,恩施州,湖北省,,11.0,17.0,25.0,38.0,51.0,66.0,75.0,87.0,105.0,111.0,123.0,138.0,144.0,157.0,160.0,171.0,187.0,195.0,203.0,229.0,237.0,244.0,247.0,249.0,250.0,249.0,244.0,245.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,252.0,0
340000,安徽省,340300,蚌埠市,2017-12,,1962-1,汪莹纯,,汉族,2020-07-21 17:00:00,True,58,False,,,2,340300.0,蚌埠市,蚌埠,安徽省,1.0,1.0,1.0,3.0,3.0,3.0,8.0,15.0,16.0,26.0,37.0,43.0,48.0,64.0,88.0,99.0,115.0,126.0,134.0,141.0,146.0,149.0,153.0,157.0,158.0,158.0,159.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0
340000,安徽省,340500,马鞍山市,2017-12,,1964-5,张岳峰,,汉族,2020-07-21 17:00:00,True,55,False,,,2,340500.0,马鞍山市,马鞍山,安徽省,,4.0,7.0,7.0,10.0,11.0,14.0,14.0,22.0,27.0,28.0,28.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,34.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0
410000,河南省,410200,开封市,2017-12,,1967-1,侯红,,汉族,2020-07-21 17:00:00,True,53,False,,,2,410200.0,开封市,开封,河南省,,,,1.0,2.0,3.0,4.0,6.0,8.0,11.0,11.0,12.0,17.0,18.0,20.0,21.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0
410000,河南省,410400,平顶山市,2017-12,,1962-6,周斌,,汉族,2020-07-21 17:00:00,True,57,False,,,2,410400.0,平顶山市,平顶山,河南省,,1.0,2.0,5.0,5.0,5.0,8.0,10.0,11.0,14.0,19.0,28.0,34.0,41.0,46.0,48.0,50.0,52.0,54.0,55.0,56.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0
460000,海南省,460400,儋州市,2017-12,,1966-4,袁光平,,汉族,2020-07-21 17:00:00,True,53,False,,,2,460400.0,儋州市,儋州,海南省,,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0
