ct_shortname,prov,citycode,ctnm,centlon,centlat,locked_down,lockdown_date,bdidx_19m20,xc_lockdown,xc_closed,daySinceFirstCase,sub_prov_ct,gdp2018,自治州-盟-地区,in_291,pdensity,gdp_p,hospital_d,popHR18_all,Log_popHR18_all,gdp_per_10k,primary_ind,second_ind,third_ind,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,non_domestic_firms_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,inaug_time,birthmonth,is_female,age_feb20,party_age,work_age,tenure,majorchara,is_STEM_major,rule_in_native_prov,is_BA,is_MA,is_PhD,cumulative_case,ct_shortname,log_cumulative_case
丽江,云南省,530700,丽江市,100.524862036,26.942247215100004,0,,2.1296000000000004,0.0,1.0,,0,1242906.0,False,True,57.02,2.4116,0.2085,123.0,4.812184355372417,10104.926829268292,4.52,31.19,64.29,30.69,30.0,2085.0,78.0,2.0,2.564102564102564,0.5499999999999972,16.75,82.7,2017-5,1965-12,0,54,29.0,32.0,2,1.0,0.0,1,1,0,0,7.0,丽江,1.9459101490553132
乌兰察布,内蒙古自治区,150900,乌兰察布市,112.445628615,41.6859071165,1,2020-02-13 00:00:00.000000000,2.9268000000000005,1.0,1.0,-13.0,0,1534132.0,False,True,50.28,4.4517,0.3942,272.0,5.605802066295998,5640.191176470588,2.58,37.7,59.73,35.79,51.0,3942.0,230.0,11.0,4.782608695652174,1.5099999999999911,16.01,82.48,2017-5,1965-5,0,54,31.0,39.0,2,1.0,0.0,1,0,0,1,3.0,乌兰察布,1.0986122886681098
乌海,内蒙古自治区,150300,乌海市,106.88294124299999,39.5671836323,1,2020-02-13 00:00:00.000000000,3.0563,0.0,1.0,-11.0,0,4100777.0,False,True,263.63,10.2725,0.1536,44.0,3.7841896339182615,93199.47727272726,1.23,57.7,41.07,35.79,27.0,1536.0,144.0,2.0,1.3888888888888888,0.17999999999999972,49.71,50.11,2016-12,1963-4,0,56,35.0,36.0,3,1.0,0.0,1,0,1,0,2.0,乌海,0.6931471805599453
乌鲁木齐,新疆维吾尔自治区,650100,乌鲁木齐市,87.8125612808,43.530938935500004,0,,4.0669,0.0,0.0,,0,27075290.0,False,True,193.65,6.9865,1.4482,223.0,5.407171771460121,121413.85650224215,0.64,30.24,69.11,73.45,127.0,14482.0,360.0,16.0,4.4444444444444455,1.3500000000000083,31.77,66.88,2017-3,1964-11,0,55,35.0,34.0,2,1.0,0.0,0,0,1,0,23.0,乌鲁木齐,3.1354942159291497
乐山,四川省,511100,乐山市,103.532932734,29.178991464899998,0,,2.375,0.0,1.0,,0,7191902.0,False,True,278.24,4.311,0.7537,352.0,5.863631175598098,20431.539772727272,6.23,51.52,42.25,66.1,97.0,7537.0,625.0,13.0,2.08,0.9100000000000036,41.54,57.55,2016-2,1963-6,0,56,33.0,35.0,4,2.0,1.0,0,0,0,1,3.0,乐山,1.0986122886681098
九江,江西省,360400,九江市,115.43844294600001,29.325854003899998,1,2020-02-06 00:00:00.000000000,3.5577,1.0,1.0,-13.0,0,10076908.0,False,True,261.14,4.3338,1.0027,520.0,6.253828811575472,19378.669230769232,2.3,41.66,56.03,32.02,62.0,10027.0,1607.0,110.0,6.845052893590545,1.6000000000000014,47.67,50.73,2018-3,1963-9,0,56,34.0,33.0,1,1.0,0.0,1,0,1,0,118.0,九江,4.770684624465665
亳州,安徽省,341600,亳州市,116.180524415,33.4334026342,0,,3.7462,0.0,1.0,,0,4212362.0,False,True,745.22,2.0611,0.6397,651.0,6.478509642208568,6470.602150537636,15.69,42.41,41.89,36.14,62.0,6397.0,1032.0,7.0,0.6782945736434108,0.07000000000000739,31.33,68.6,2016-4,1965-3,0,54,31.0,35.0,3,2.0,1.0,1,0,1,0,108.0,亳州,4.68213122712422
伊春,黑龙江省,230700,伊春市,129.208870322,47.8075776338,0,,2.5700000000000003,1.0,1.0,,0,1650320.0,False,True,36.89,2.1043,0.2684,116.0,4.7535901911063645,14226.896551724138,32.53,25.26,42.21,31.47,40.0,2684.0,97.0,7.0,7.216494845360824,53.50000000000001,12.74,33.76,2018-12,1962-9,0,57,34.0,39.0,1,1.0,0.0,1,0,1,0,1.0,伊春,0.0
佛山,广东省,440600,佛山市,112.945063477,23.0129541212,1,2020-02-08 00:00:00.000000000,3.3110000000000004,0.0,1.0,-15.0,0,93985162.0,False,True,1024.22,11.5891,1.8134,420.0,6.040254711277415,223774.19523809524,1.42,57.72,40.86,182.12,110.0,18134.0,6212.0,1143.0,18.399871216999355,0.01999999999999957,70.75,29.23,2016-2,1964-10,0,55,33.0,37.0,4,1.0,0.0,0,0,0,1,84.0,佛山,4.430816798843313
佳木斯,黑龙江省,230800,佳木斯市,132.212184214,47.24463706149999,0,,3.3686000000000003,1.0,1.0,,0,4561525.0,False,True,72.77,3.6878,0.5694,235.0,5.459585514144161,19410.744680851065,6.31,25.78,67.91,31.47,92.0,5694.0,288.0,11.0,3.8194444444444446,11.939999999999998,21.65,66.41,2019-12,1968-9,0,51,28.0,32.0,0,1.0,0.0,0,0,1,0,15.0,佳木斯,2.70805020110221
