ct_shortname,prov,citycode,ctnm,centlon,centlat,locked_down,lockdown_date,bdidx_19m20,xc_lockdown,xc_closed,daySinceFirstCase,sub_prov_ct,gdp2018,自治州-盟-地区,in_291,pdensity,gdp_p,hospital_d,popHR18_all,Log_popHR18_all,gdp_per_10k,primary_ind,second_ind,third_ind,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,non_domestic_firms_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,inaug_time,birthmonth,is_female,age_feb20,party_age,work_age,tenure,majorchara,is_STEM_major,rule_in_native_prov,is_BA,is_MA,is_PhD,cumulative_case,ct_shortname,log_cumulative_case
商洛,陕西省,611000,商洛市,109.89893406700001,33.6486843741,0,,2.0047000000000006,1.0,1.0,,0,1478000.0,False,True,130.11,2.9574,0.4362,253.0,5.53338948872752,5841.897233201581,9.64,43.3,47.06,43.47,180.0,4362.0,250.0,0.0,0.0,0.9499999999999956,42.84,56.21,2019-12,1968-7,1,51,29.0,29.0,0,1.0,0.0,0,1,0,0,7.0,商洛,1.9459101490553132
嘉兴,浙江省,330400,嘉兴市,120.753962091,30.6548102842,0,,3.4720000000000004,1.0,1.0,,0,11254564.0,False,True,891.44,8.3968,1.1392,356.0,5.87493073085203,31613.94382022472,2.64,45.48,51.88,66.3,75.0,11392.0,5394.0,1003.0,18.594734890619208,0.05000000000000426,63.55,36.4,2018-7,1966-4,0,53,34.0,29.0,1,1.0,0.0,0,0,1,0,45.0,嘉兴,3.8066624897703196
四平,吉林省,220300,四平市,124.46916686700001,43.5696006413,0,,2.7486,0.0,1.0,,0,1613303.0,False,True,226.67,3.6732,0.7178,320.0,5.768320995793773,5041.571875,2.87,52.11,45.02,44.12,63.0,7178.0,601.0,18.0,2.9950083194675536,3.5900000000000034,21.89,74.52,2018-3,1965-2,0,54,24.0,34.0,1,1.0,0.0,1,0,1,0,15.0,四平,2.70805020110221
固原,宁夏回族自治区,640400,固原市,106.18294085299999,35.949800976999995,0,,2.9634,0.0,0.0,,0,1176599.0,False,True,114.97,1.972,0.2513,151.0,5.017279836814924,7792.046357615894,12.78,27.41,59.81,30.69,13.0,2513.0,50.0,0.0,0.0,1.840000000000004,13.29,84.87,2017-6,1968-2,0,52,31.0,30.0,2,1.0,0.0,1,0,1,0,5.0,固原,1.6094379124341003
大同,山西省,140200,大同市,113.717310267,39.9028772435,0,,2.1599,0.0,0.0,,0,8866388.0,False,True,222.91,3.0046,0.9464,318.0,5.762051382780178,27881.72327044025,1.47,38.54,60.0,31.47,143.0,9464.0,232.0,16.0,6.896551724137932,0.3299999999999983,50.68,48.99,2016-11,1964-9,0,55,34.0,30.0,3,2.0,1.0,0,0,0,1,12.0,大同,2.4849066497880004
大庆,黑龙江省,230600,大庆市,124.689855219,46.33658105479999,0,,3.362,1.0,1.0,,0,22907157.0,False,True,129.6,9.469,0.9926,273.0,5.609471795184961,83909.0,2.4,62.09,35.51,31.47,113.0,9926.0,419.0,16.0,3.8186157517899764,0.5700000000000003,49.62,49.81,2017-3,1963-11,0,56,33.0,30.0,2,2.0,1.0,1,0,0,1,26.0,大庆,3.258096538021482
大连,辽宁省,210200,大连市,122.217400629,39.603595543400004,1,2020-02-05 00:00:00.000000000,3.5541,0.0,1.0,-12.0,1,53917639.0,False,True,472.4,9.747,2.0301,595.0,6.38856140554563,90617.8806722689,2.93,38.42,58.65,60.3,153.0,20301.0,1683.0,586.0,34.818775995246575,0.5899999999999963,40.49,58.92,2017-4,1968-10,0,51,29.0,29.0,2,1.0,0.0,0,0,1,0,19.0,大连,2.9444389791664403
天水,甘肃省,620500,天水市,105.739951768,34.6501489475,0,,2.9985000000000004,0.0,0.0,,0,3697913.0,False,True,257.06,1.78,0.5045,371.0,5.916202062607435,9967.420485175202,6.3,40.14,53.56,31.0,49.0,5045.0,170.0,2.0,1.1764705882352942,2.3699999999999903,30.18,67.45,2013-9,1963-10,0,56,35.0,34.0,6,1.0,0.0,0,0,1,0,12.0,天水,2.4849066497880004
太原,山西省,140100,太原市,112.314144155,37.9594522291,0,,3.5076,1.0,1.0,,0,31483179.0,False,True,525.19,6.8234,2.1476,369.0,5.910796644040527,85320.26829268293,0.54,36.52,62.93,31.47,175.0,21476.0,376.0,20.0,5.319148936170213,0.1699999999999946,46.95,52.88,2017-6,1963-10,0,56,33.0,33.0,2,2.0,1.0,1,0,1,0,20.0,太原,2.995732273553991
威海,山东省,371000,威海市,121.98210801,37.1186963917,0,,3.2496,0.0,1.0,,0,17730689.0,False,True,439.88,11.422,0.8097,256.0,5.545177444479562,69260.50390625,5.7,47.52,46.77,89.72,50.0,8097.0,1847.0,429.0,23.226854358419057,0.11999999999999035,64.93,34.95,2018-11,1961-11,0,58,39.0,35.0,1,2.0,1.0,1,0,0,1,38.0,威海,3.6375861597263857
娄底,湖南省,431300,娄底市,111.61160971700001,27.7402531312,0,,2.766,0.0,1.0,,0,4601745.0,False,True,551.79,3.6058,0.9548,454.0,6.118097198041347,10136.002202643172,3.86,52.31,43.83,35.3,86.0,9548.0,794.0,10.0,1.2594458438287155,0.5,49.17,50.33,2019-12,1969-9,0,50,29.0,26.0,0,1.0,0.0,0,0,0,1,76.0,娄底,4.330733340286331
孝感,湖北省,420900,孝感市,113.88025339100001,31.119830985,1,2020-01-24 00:00:00.000000000,3.8142,1.0,1.0,0.0,0,3164822.0,False,True,590.35,3.2236,0.8781,519.0,6.251903883165888,6097.922928709057,10.17,46.23,43.59,56.66,56.0,8781.0,1186.0,54.0,4.5531197301854975,1.0500000000000045,54.91,44.04,2017-12,1965-1,0,55,27.0,33.0,2,1.0,0.0,1,0,1,0,3518.0,孝感,8.165647925297504
宁德,福建省,350900,宁德市,119.476599315,26.9729627659,0,,2.0016,0.0,0.0,,0,3906094.0,False,True,259.44,5.6358,0.5455,351.0,5.8607862234658645,11128.472934472937,9.91,51.17,38.92,35.3,44.0,5455.0,1086.0,23.0,2.117863720073665,0.4299999999999997,47.07,52.5,2018-4,1968-1,0,52,28.0,30.0,1,1.0,0.0,1,0,1,0,26.0,宁德,3.258096538021482
宁波,浙江省,330200,宁波市,121.475239799,29.709635305,1,2020-02-04 00:00:00.000000000,4.0208,1.0,1.0,-11.0,1,62826874.0,False,True,598.0,11.0656,2.4268,597.0,6.391917113392602,105237.64489112227,1.5,49.53,48.97,66.3,154.0,24268.0,7500.0,1468.0,19.573333333333334,0.019999999999996014,61.02,38.96,2017-12,1961-11,0,58,34.0,37.0,2,1.0,0.0,0,0,1,0,157.0,宁波,5.056245805348308
安庆,安徽省,340800,安庆市,116.59447983,30.6107539879,0,,3.4231000000000003,0.0,1.0,,0,5138061.0,False,True,403.84,3.3294,0.8638,531.0,6.274762021241939,9676.197740112995,2.72,43.69,53.59,36.14,69.0,8638.0,1716.0,48.0,2.797202797202797,3.910000000000004,40.22,55.87,2016-4,1964-12,0,55,21.0,32.0,3,2.0,1.0,0,1,0,0,83.0,安庆,4.418840607796598
安康,陕西省,610900,安康市,108.92738946600001,32.758972792600005,0,,2.5637,0.0,0.0,,0,2909198.0,False,True,129.59,3.177,0.8577,305.0,5.720311776607412,9538.354098360656,8.5,43.51,47.98,43.47,48.0,8577.0,647.0,3.0,0.4636785162287481,0.1799999999999926,27.71,72.11,2013-3,1963-10,0,56,35.0,37.0,6,1.0,0.0,0,0,0,1,26.0,安康,3.258096538021482
安阳,河南省,410500,安阳市,114.349536275,35.8790364654,0,,3.7219000000000007,0.0,0.0,,0,6166974.0,False,True,839.23,3.9603,1.3263,624.0,6.436150368369428,9882.971153846154,1.18,45.1,53.72,55.64,100.0,13263.0,944.0,16.0,1.6949152542372878,0.12000000000000455,59.76,40.12,2016-5,1962-3,0,57,36.0,37.0,3,2.0,1.0,1,1,0,0,53.0,安阳,3.970291913552122
安顺,贵州省,520400,安顺市,105.951426539,25.9961545901,0,,2.8791,0.0,1.0,,0,4488895.0,False,True,319.41,3.0216,0.3743,301.0,5.7071102647488745,14913.27242524917,12.58,38.83,48.59,35.3,73.0,3743.0,368.0,6.0,1.6304347826086956,0.5499999999999972,35.45,64.0,2019-7,1961-12,0,58,34.0,36.0,0,1.0,0.0,1,0,1,0,4.0,安顺,1.3862943611198906
定西,甘肃省,621100,定西市,104.451531965,35.1205533988,0,,2.537,0.0,0.0,,0,767389.0,False,True,153.5,1.1892,0.4783,303.0,5.713732805509371,2532.636963696369,12.69,29.63,57.68,31.0,47.0,4783.0,153.0,1.0,0.6535947712418301,0.8200000000000074,24.3,74.88,2017-5,1963-6,0,56,25.0,36.0,2,1.0,0.0,0,1,0,0,9.0,定西,2.1972245773362196
宜宾,四川省,511500,宜宾市,104.635322691,28.571729646199998,1,2020-02-06 00:00:00.000000000,2.5501,0.0,1.0,-10.0,0,7516818.0,False,True,415.94,3.6735,0.9022,555.0,6.3189681137464335,13543.816216216215,6.34,51.06,42.6,66.1,172.0,9022.0,692.0,9.0,1.300578034682081,0.5600000000000023,48.21,51.23,2016-6,1962-11,0,57,37.0,24.0,3,1.0,0.0,1,0,1,0,12.0,宜宾,2.4849066497880004
宜昌,湖北省,420500,宜昌市,111.136046112,30.748986850300003,1,2020-01-24 00:00:00.000000000,3.7625,1.0,1.0,0.0,0,16525000.0,False,True,187.47,8.9978,1.0919,392.0,5.971261839790463,42155.612244897966,4.76,55.96,39.28,56.66,91.0,10919.0,1169.0,54.0,4.619332763045338,0.37999999999999545,53.95,45.67,2017-1,1964-5,0,55,31.0,35.0,3,2.0,1.0,1,0,1,0,931.0,宜昌,6.836259277277067
宜春,江西省,360900,宜春市,114.97313992299999,28.3076895146,1,2020-02-06 00:00:00.000000000,4.4211,1.0,1.0,-12.0,0,2850981.0,False,True,319.78,3.2269,0.8102,602.0,6.400257445308821,4735.848837209303,11.09,37.67,51.24,32.02,40.0,8102.0,1542.0,78.0,5.058365758754863,0.7899999999999991,50.18,49.03,2017-6,1962-2,0,57,34.0,37.0,2,1.0,0.0,1,1,0,0,106.0,宜春,4.663439094112067
宝鸡,陕西省,610300,宝鸡市,107.201996492,34.3790969077,0,,3.0207999999999995,0.0,0.0,,0,10803650.0,False,True,211.98,5.1262,0.9858,381.0,5.942799375126701,28356.036745406826,3.06,66.26,30.68,43.47,105.0,9858.0,730.0,15.0,2.054794520547945,0.6099999999999994,50.46,48.93,2017-6,1965-8,0,54,33.0,33.0,2,1.0,0.0,1,0,1,0,13.0,宝鸡,2.5649493574615367
宣城,安徽省,341800,宣城市,118.85656348100001,30.691059116599998,0,,2.8152000000000004,0.0,1.0,,0,3238217.0,False,True,227.4,4.074,0.5344,280.0,5.634789603169249,11565.060714285713,11.7,40.49,47.81,36.14,46.0,5344.0,1439.0,46.0,3.1966643502432244,1.1300000000000026,39.32,59.55,2018-7,1962-11,0,57,37.0,38.0,1,1.0,0.0,1,0,1,0,6.0,宣城,1.791759469228055
宿州,安徽省,341300,宿州市,117.208149689,33.8609004462,0,,3.5980000000000003,1.0,1.0,,0,6442018.0,False,True,653.99,2.427,0.9221,656.0,6.4861607889440895,9820.149390243903,10.16,38.42,51.42,36.14,81.0,9221.0,1272.0,29.0,2.279874213836478,35.63720499999999,29.188078000000004,35.174717,2016-12,1963-11,0,56,30.0,37.0,3,1.0,0.0,1,0,1,0,41.0,宿州,3.713572066704308
宿迁,江苏省,321300,宿迁市,118.51894471600001,33.7851847756,0,,3.0016,0.0,1.0,,0,9464340.0,False,True,687.47,4.8311,1.15,591.0,6.3818160174060985,16014.111675126904,7.33,49.5,43.18,39.66,232.0,11500.0,1747.0,106.0,6.067544361763022,0.10999999999999943,61.6,38.29,2018-4,1964-2,0,56,32.0,35.0,1,1.0,0.0,1,0,1,0,13.0,宿迁,2.5649493574615367
岳阳,湖南省,430600,岳阳市,113.254138466,29.065210257199997,0,,3.503,0.0,1.0,,0,13125986.0,False,True,379.59,5.4832,1.5306,567.0,6.3403593037277535,23149.88712522046,3.23,38.93,57.84,35.3,242.0,15306.0,1188.0,39.0,3.282828282828284,1.8500000000000008,41.74,56.41,2019-12,1962-1,0,58,26.0,32.0,0,1.0,0.0,0,0,1,0,156.0,岳阳,5.049856007249537
巴中,四川省,511900,巴中市,107.038377855,32.016381578899995,0,,2.3273,0.0,1.0,,0,2169990.0,False,True,309.12,1.6415,0.6607,376.0,5.929589143389895,5771.25,14.46,43.56,41.97,66.1,75.0,6607.0,290.0,2.0,0.6896551724137931,0.490000000000002,54.47,45.04,2017-6,1967-10,0,52,26.0,29.0,2,2.0,1.0,1,0,0,1,24.0,巴中,3.1780538303479458
巴彦淖尔,内蒙古自治区,150800,巴彦淖尔市,107.58211787799999,41.4511445641,1,2020-02-13 00:00:00.000000000,3.9708,0.0,1.0,-15.0,0,2421916.0,False,True,26.4,5.4479999999999995,0.4956,174.0,5.159055299214528,13919.057471264368,17.47,35.6,46.93,35.79,53.0,4956.0,223.0,11.0,4.932735426008969,12.399999999999993,16.12,71.48,2017-5,1968-10,0,51,26.0,33.0,2,1.0,0.0,1,0,1,0,8.0,巴彦淖尔,2.0794415416798357
常州,江苏省,320400,常州市,119.637619427,31.6271800585,1,2020-02-04 00:00:00.000000000,4.0137,0.0,1.0,-10.0,0,57722100.0,False,True,848.58,12.2721,1.31,379.0,5.937536205082426,152301.05540897098,1.84,46.36,51.8,39.66,67.0,13100.0,4240.0,743.0,17.523584905660385,0.11999999999999746,60.38,39.5,2019-12,1967-9,0,52,27.0,30.0,0,1.0,0.0,0,0,0,1,51.0,常州,3.9318256327243257
常德,湖南省,430700,常德市,111.52258992799999,29.2986716258,0,,3.4449,0.0,0.0,,0,16105239.0,False,True,322.05,5.0543,1.5367,606.0,6.406879986069312,26576.30198019802,3.79,47.57,48.63,35.3,85.0,15367.0,1165.0,39.0,3.3476394849785414,0.12999999999999545,42.34,57.53,2017-7,1966-2,0,53,28.0,30.0,2,1.0,0.0,1,0,1,0,82.0,常德,4.406719247264253
平凉,甘肃省,620800,平凉市,106.651098409,35.3065458464,0,,2.6484,0.0,0.0,,0,1286773.0,False,True,208.59,1.7486,0.4594,234.0,5.455321115357702,5499.029914529915,6.66,23.72,69.62,31.0,149.0,4594.0,66.0,0.0,0.0,1.7800000000000011,37.67,60.55,2017-5,1962-8,0,57,33.0,36.0,2,2.0,1.0,1,0,0,1,9.0,平凉,2.1972245773362196
平顶山,河南省,410400,平顶山市,113.01293501299999,33.7974110082,0,,3.46,1.0,1.0,,0,5649429.0,False,True,713.02,3.6708,1.1355,567.0,6.3403593037277535,9963.719576719577,1.03,51.9,47.07,55.64,87.0,11355.0,885.0,22.0,2.485875706214689,0.0799999999999983,54.64,45.28,2017-12,1962-6,0,57,29.0,36.0,2,1.0,0.0,1,0,1,0,58.0,平顶山,4.060443010546419
广元,四川省,510800,广元市,105.77977111,32.2608710003,0,,1.7621999999999995,0.0,1.0,,0,3440379.0,False,True,186.99,2.5072,0.5886,303.0,5.713732805509371,11354.38613861386,8.82,51.34,39.84,66.1,73.0,5886.0,465.0,6.0,1.2903225806451613,0.2599999999999909,28.73,71.01,2016-2,1963-10,0,56,34.0,33.0,4,1.0,0.0,1,0,0,1,6.0,广元,1.791759469228055
广安,四川省,511600,广安市,106.663272858,30.4248802358,0,,3.0003,0.0,1.0,,0,3485615.0,False,True,736.48,3.313,0.3952,465.0,6.142037405587356,7495.946236559141,11.45,44.92,43.63,66.1,67.0,3952.0,509.0,11.0,2.161100196463654,1.029999999999994,53.63,45.34,2018-7,1963-11,0,56,33.0,32.0,1,1.0,0.0,0,0,0,1,30.0,广安,3.4011973816621555
广州,广东省,440100,广州市,113.536045895,23.354201314,1,2020-02-07 00:00:00.000000000,3.2774,0.0,1.0,-14.0,1,215031516.0,False,True,1148.78,14.1933,4.9747,898.0,6.8001700683022,239456.0311804009,1.09,27.97,70.94,182.12,243.0,49747.0,4664.0,1389.0,29.78130360205832,0.060000000000002274,32.6,67.34,2018-7,1965-8,0,54,35.0,31.0,1,2.0,1.0,0,0,0,1,346.0,广州,5.846438775057725
庆阳,甘肃省,621000,庆阳市,107.591449805,36.1660478362,0,,2.5464,0.0,0.0,,0,2029988.0,False,True,98.45,2.6734,0.4149,270.0,5.598421958998375,7518.4740740740735,2.82,51.88,45.3,31.0,28.0,4149.0,107.0,1.0,0.9345794392523364,0.23000000000000398,33.05,66.72,2016-10,1963-4,0,56,31.0,31.0,3,2.0,1.0,1,0,1,0,3.0,庆阳,1.0986122886681098
廊坊,河北省,131000,廊坊市,116.627916731,39.2588292315,0,,3.1126,1.0,1.0,,0,8648469.0,False,True,722.34,5.8972,1.1877,474.0,6.161207321695078,18245.71518987342,2.18,38.63,59.19,31.22,153.0,11877.0,1180.0,149.0,12.627118644067798,0.5500000000000043,45.01,54.44,2016-6,1965-9,0,54,35.0,34.0,3,1.0,0.0,1,0,1,0,30.0,廊坊,3.4011973816621555
延安,陕西省,610600,延安市,109.31803444799999,36.439333163899995,0,,2.6285000000000003,0.0,0.0,,0,3825290.0,False,True,63.73,4.83,0.5266,238.0,5.472270673671473,16072.64705882353,5.56,43.17,51.27,43.47,63.0,5266.0,171.0,3.0,1.7543859649122806,0.7299999999999969,41.68,57.59,2015-6,1962-4,0,57,35.0,35.0,4,1.0,0.0,1,0,1,0,8.0,延安,2.0794415416798357
开封,河南省,410200,开封市,114.534932217,34.6086508852,0,,3.4177,1.0,1.0,,0,6887402.0,False,True,859.71,3.8619,1.128,559.0,6.326149473155099,12320.93381037567,9.83,34.99,55.18,55.64,105.0,11280.0,1347.0,32.0,2.3756495916852263,0.12999999999999545,54.17,45.7,2017-12,1967-1,1,53,32.0,29.0,2,1.0,0.0,1,0,1,0,26.0,开封,3.258096538021482
张家口,河北省,130700,张家口市,115.030068715,40.864977993400004,0,,2.5633,0.0,1.0,,0,7093733.0,False,True,127.46,3.3142,0.9401,465.0,6.142037405587356,15255.339784946236,7.01,38.92,54.07,31.22,100.0,9401.0,446.0,31.0,6.95067264573991,0.5500000000000114,21.88,77.57,2017-2,1961-7,0,58,37.0,39.0,2,1.0,0.0,1,0,0,1,41.0,张家口,3.713572066704308
张家界,湖南省,430800,张家界市,110.529433773,29.3919359894,0,,3.3811,0.0,1.0,,0,2796735.0,False,True,178.65,3.23,0.3207,170.0,5.135798437050261,16451.382352941182,7.0,15.71,77.29,35.3,30.0,3207.0,213.0,5.0,2.3474178403755865,0.4200000000000017,22.07,77.51,2016-12,1964-9,0,55,35.0,35.0,3,1.0,0.0,1,1,0,0,5.0,张家界,1.6094379124341003
张掖,甘肃省,620700,张掖市,99.8944478075,38.9197338759,0,,3.0239,0.0,0.0,,0,1646975.0,False,True,31.01,3.2729,0.3308,131.0,4.875197323201151,12572.32824427481,14.69,23.36,61.95,31.0,53.0,3308.0,224.0,4.0,1.7857142857142856,2.3500000000000085,25.85,71.8,2017-5,1962-9,0,57,35.0,31.0,2,1.0,0.0,1,0,1,0,2.0,张掖,0.6931471805599453
徐州,江苏省,320300,徐州市,117.512025748,34.3595362374,1,2020-02-04 00:00:00.000000000,3.4318,1.0,1.0,-8.0,0,33978846.0,False,True,874.63,6.6845,2.29,1039.0,6.946013991099227,32703.412897016362,3.54,43.2,53.26,39.66,135.0,22900.0,2412.0,157.0,6.509121061359867,1.3500000000000014,55.42,43.23,2018-4,1962-11,0,57,35.0,34.0,1,1.0,0.0,1,1,0,0,79.0,徐州,4.3694478524670215
德州,山东省,371400,德州市,116.64685205,37.2449858416,0,,3.3959,1.0,1.0,,0,8957000.0,False,True,566.71,5.0856,1.301,595.0,6.38856140554563,15053.781512605045,4.77,49.7,45.53,89.72,104.0,13010.0,3047.0,84.0,2.756809977026584,0.14000000000000054,45.5,54.36,2019-12,1967-2,0,53,26.0,32.0,0,1.0,0.0,0,0,1,0,37.0,德州,3.6109179126442243
德阳,四川省,510600,德阳市,104.429361052,31.1340846039,0,,2.5039,0.0,1.0,,0,6709721.0,False,True,659.79,4.9835,0.8953,388.0,5.961005339623274,17293.095360824744,7.95,49.48,42.57,66.1,85.0,8953.0,1374.0,40.0,2.9112081513828234,0.060000000000002274,49.8,50.14,2019-12,1970-2,0,49,20.0,27.0,0,1.0,0.0,0,0,1,0,18.0,德阳,2.8903717578961645
忻州,山西省,140900,忻州市,112.408319955,38.8824936107,0,,2.5655,1.0,1.0,,0,1383021.0,False,True,122.06,2.2747,0.5923,308.0,5.730099782973574,4490.327922077921,7.38,31.45,61.18,31.47,112.0,5923.0,349.0,3.0,0.8595988538681949,0.9600000000000078,27.04,72.0,2015-8,1964-4,0,55,39.0,42.0,4,1.0,0.0,1,0,1,0,7.0,忻州,1.9459101490553132
怀化,湖南省,431200,怀化市,110.074011126,27.546820293400003,0,,2.6524,0.0,1.0,,0,3456184.0,False,True,186.63,2.8515,1.1607,522.0,6.257667587882639,6621.0421455938695,2.63,19.88,77.49,35.3,398.0,11607.0,630.0,14.0,2.2222222222222223,0.4500000000000029,21.06,78.49,2014-6,1963-1,0,57,36.0,35.0,5,1.0,0.0,1,0,0,1,40.0,怀化,3.6888794541139363
惠州,广东省,441300,惠州市,114.496789596,23.245085468800003,0,,2.4325,0.0,1.0,,0,24079290.0,False,True,314.65,7.1605,1.2582,369.0,5.910796644040527,65255.52845528456,1.84,56.85,41.31,182.12,72.0,12582.0,2366.0,897.0,37.912087912087905,0.10999999999999588,69.9,29.99,2018-6,1965-11,0,54,31.0,31.0,1,1.0,0.0,0,0,0,1,62.0,惠州,4.127134385045092
成都,四川省,510100,成都市,103.84542987,30.6654390504,0,,3.4864,0.0,1.0,,1,110100047.0,False,True,1013.12,7.696000000000001,5.8159,1435.0,7.268920128193723,76724.77142857143,1.52,43.92,54.56,66.1,888.0,58159.0,3631.0,313.0,8.620214816854862,0.6300000000000097,34.01,65.36,2017-3,1966-4,0,53,34.0,35.0,2,1.0,0.0,0,0,1,0,143.0,成都,4.962844630259907
扬州,江苏省,321000,扬州市,119.471468626,32.7386482351,1,2020-02-05 00:00:00.000000000,3.2338,0.0,1.0,-12.0,0,32484000.0,False,True,699.44,9.9151,1.09,460.0,6.131226489483143,70617.39130434782,2.95,47.92,49.13,39.66,69.0,10900.0,2858.0,350.0,12.246326102169347,0.039999999999992035,74.04,25.92,2019-12,1965-5,0,54,31.0,34.0,0,1.0,0.0,1,0,1,0,23.0,扬州,3.1354942159291497
承德,河北省,130800,承德市,117.545588669,41.3437081043,0,,2.439,0.0,1.0,,0,4045897.0,False,True,96.73,4.0741,0.9732,380.0,5.940171252720432,10647.097368421053,1.0,45.97,53.03,31.22,79.0,9732.0,432.0,11.0,2.5462962962962963,1.1300000000000097,23.91,74.96,2015-10,1963-11,0,56,35.0,35.0,4,1.0,0.0,1,0,1,0,7.0,承德,1.9459101490553132
抚州,江西省,361000,抚州市,116.433278863,27.510174418800002,1,2020-02-06 00:00:00.000000000,3.6611,1.0,1.0,-13.0,0,3966520.0,False,True,212.25,3.0259,0.5528,431.0,6.0661080901037465,9203.0626450116,11.55,46.5,41.95,32.02,48.0,5528.0,994.0,47.0,4.7283702213279675,0.730000000000004,51.33,47.94,2015-4,1962-5,0,57,35.0,38.0,4,1.0,0.0,1,0,1,0,72.0,抚州,4.276666119016055
拉萨,西藏自治区,540100,拉萨市,91.10756302540001,30.0342985127,0,,2.1883,0.0,0.0,,0,2878800.0,False,True,17.96,6.4804,0.2552,54.0,3.9889840465642745,53311.111111111124,1.64,33.09,65.28,35.26,28.0,2552.0,76.0,3.0,3.947368421052632,32.49999999999999,16.62,50.88,2017-1,1967-2,0,53,28.0,32.0,3,1.0,0.0,1,0,1,0,1.0,拉萨,0.0
揭阳,广东省,445200,揭阳市,116.11655183200001,23.3377429877,0,,1.1284999999999994,0.0,0.0,,0,9403706.0,False,True,1339.69,3.3027,1.0172,703.0,6.555356891810665,13376.537695590327,4.74,59.77,35.49,182.12,50.0,10172.0,1956.0,160.0,8.1799591002045,0.4899999999999949,54.34,45.17,2019-5,1967-12,0,52,35.0,35.0,0,1.0,0.0,0,0,1,0,8.0,揭阳,2.0794415416798357
攀枝花,四川省,510400,攀枝花市,101.731355994,26.806554228699998,0,,2.4159,0.0,0.0,,0,8425681.0,False,True,149.98,8.2221,0.3966,109.0,4.6913478822291435,77299.8256880734,1.48,65.1,33.42,66.1,24.0,3966.0,324.0,6.0,1.8518518518518519,1.1199999999999974,52.43,46.45,2018-7,1963-8,0,56,34.0,38.0,1,1.0,0.0,0,0,1,0,16.0,攀枝花,2.772588722239781
新乡,河南省,410700,新乡市,114.090987425,35.2671333059,0,,3.5783000000000005,0.0,1.0,,0,8005138.0,False,True,735.06,3.7805,1.4298,647.0,6.472346294500903,12372.701700154561,0.93,42.89,56.17,55.64,115.0,14298.0,1240.0,50.0,4.032258064516129,0.07000000000000027,60.65,39.28,2017-2,1963-5,0,56,35.0,37.0,2,1.0,0.0,1,0,1,0,57.0,新乡,4.04305126783455
新余,江西省,360500,新余市,114.851113274,27.8472282167,1,2020-02-06 00:00:00.000000000,4.1467,1.0,1.0,-13.0,0,7565744.0,False,True,390.18,8.8548,0.4201,122.0,4.804021044733257,62014.295081967226,4.64,52.82,42.54,32.02,14.0,4201.0,369.0,17.0,4.607046070460704,0.2600000000000051,62.05,37.69,2016-9,1968-1,0,52,31.0,30.0,3,1.0,0.0,0,0,1,0,130.0,新余,4.867534450455582
无锡,江苏省,320200,无锡市,120.075973783,31.5267019879,1,2020-02-03 00:00:00.000000000,3.8651,0.0,1.0,-10.0,0,54652800.0,False,True,1039.55,14.1258,1.9609999999999999,493.0,6.200509174042691,110857.6064908722,0.81,41.33,57.86,39.66,166.0,19610.0,5258.0,1179.0,22.42297451502473,0.060000000000002274,64.25,35.69,2019-12,1962-10,0,57,33.0,40.0,0,1.0,0.0,0,0,1,0,55.0,无锡,4.007333185232471
日照,山东省,371100,日照市,119.133612499,35.5845070179,1,2020-02-05 00:00:00.000000000,2.4207000000000005,0.0,1.0,-12.0,0,14150500.0,False,True,552.34,6.2357,0.62,304.0,5.717027701406223,46547.69736842105,5.66,50.06,44.28,89.72,53.0,6200.0,735.0,74.0,10.068027210884352,0.1700000000000017,49.48,50.35,2019-12,1967-4,1,52,31.0,30.0,0,2.0,1.0,1,0,1,0,16.0,日照,2.772588722239781
昆明,云南省,530100,昆明市,102.87508741399999,25.3871081064,1,2020-02-05 00:00:00.000000000,2.8729000000000005,0.0,1.0,-12.0,0,38896946.0,False,True,301.86,6.4156,2.7317,563.0,6.333279628139692,69088.71403197157,1.34,38.71,59.95,30.69,308.0,27317.0,990.0,77.0,7.777777777777778,0.240000000000002,41.05,58.71,2015-7,1961-12,0,58,37.0,36.0,4,2.0,1.0,0,0,0,1,53.0,昆明,3.970291913552122
昭通,云南省,530600,昭通市,104.000965785,27.6532096423,0,,1.8989000000000005,0.0,1.0,,0,2558688.0,False,True,266.93,1.4040000000000001,0.7676,619.0,6.428105272684598,4133.583198707593,11.13,49.28,39.59,30.69,297.0,7676.0,130.0,5.0,3.8461538461538463,0.6700000000000017,23.83,75.5,2017-3,1964-6,0,55,28.0,37.0,2,1.0,0.0,1,0,1,0,25.0,昭通,3.2188758248682006
晋中,山西省,140700,晋中市,112.963001048,37.3274166452,0,,2.6614000000000004,0.0,0.0,,0,2698240.0,False,True,201.32,3.2646,0.7129,332.0,5.805134968916487,8127.22891566265,7.95,31.95,60.09,31.47,106.0,7129.0,567.0,24.0,4.232804232804233,0.3200000000000003,39.96,59.72,2019-4,1963-2,0,57,31.0,36.0,0,2.0,1.0,1,0,1,0,37.0,晋中,3.6109179126442243
