"宿州市",811211011,656,191,655,191,194,59
"六安市",1̂11’(10),588,220,588,220,190,74
"亳州市",80211011,651,167,649,167,172,52
"池州市",0111211011,162,67,162,67,55,24
"宣城市",,280,87,280,87,100,31
"福建省",,,,,,,
"福州市",尸11211011,693,279,690,277,213,91
"厦门市",X I&111011,231,231,226,226,74,74
"莆田市",?〇11311,355,239,352,237,94,62
"三明市",83111111112,288,28,287,28,78,9
"泉州市",1̂1311211011,742,112,737,111,204,33
"漳州市",2113112211011,514,62,513,61,142,21
"南平市",1̂ 3111)111̂,319,86,320,86,93,25
"龙岩市",1̂ 0112 丫3 11,316,104,312,103,96,34
"宁德市",1^111^6,351,49,351,49,104,16
"江西省",1̂311̂ X1,,,,,,
"南昌市",1 3̂00113112,525,305,524,304,166,100
"景德镇市",11115(16211̂ 11,169,47,166,50,54,18
"萍乡市",(10)8,200,89,200,89,62,28
"九江市",』叫13〇2,520,100,520,100,163,35
"新余市",,122,90,118,86,40,30
"鹰潭市",,128,24,128,24,36,8
"赣州市",0̂ 11211011,974,225,861,204,278,66
"吉安市","】1,肪",536,59,536,59,168,18
"宜春市",,602,115,602,115,189,34
"抚州市",尸11211011,431,121,402,112,137,39
"上饶市",811&118^30,783,141,782,140,227,41
"山东省",811311̂ 011̂,,,,,,
"济南市",11030,644,484,638,479,208,157
"青岛市",1̂0̂ (130,803,,,,,
"淄博市",211?〇,433,288,433,288,152,102
"枣庄市",2&0211113112,418,245,416,243,121,69
"东营市",00118^108,195,111,194,111,68,41
"烟台市",,654,189,655,189,237,69
"潍坊市",6̂1̂ 211̂,908,192,936,214,287,63
"济宁市",11111113,883,187,879,186,270,57
"泰安市",1^311,571,171,570,171,199,60
"威海市",6̂11131,256,134,256,134,93,48
"日照市",11121130,304,137,302,136,110,50
"莱芜市",“爾,129,129,129,129,47,47
"临沂市",,1162,274,1151,271,362,84
"德州市",06211011,595,124,594,124,190,40
"聊城市",1^300116118,640,127,636,126,201,38
"滨州市",810211011,394,109,393,109,131,41
"菏泽市",压626,1019,233,1014,231,320,69
"河南省",11611211,,,,,,
"郑州市",21160̂ 211011,842,367,835,360,224,112
"幵封市",艮3比60呂,559,171,558,170,173,59
"洛阳市",1̂ 110丫  30呂,737,205,737,205,216,66
"平顶山市",,567,111,568,111,160,33
"安阳市",30 呂,624,117,625,118,181,37
"鹤壁市",,170,65,170,65,49,21
"新乡市",,647,108,649,107,181,34
"焦作市",1̂302110,371,98,373,73,101,27
"濮阳市",?11̂ &0^,432,72,432,72,118,22
"许昌市",5(11011302,508,134,509,134,159,45
"漯河市",,267,134,268,135,75,37
"三门峡市",8&!11116!1\13,228,63,230,65,74,22
"南阳市",,1200,190,1191,189,364,63
"商丘市",511311̂(1111,987,186,982,185,290,54
"信阳市",,911,156,912,155,282,50
"周口市",211011̂ 011,1258,64,1258,64,337,20
"驻马店市",211111113(11̂11,961,85,923,85,270,24
"湖北省",1̂111)61,,,,,,
"武汉市",\\̂1111311,854,854,844,844,311,311
"黄石市",1̂1311̂ 8111,271,134,270,135,78,27
"十堰市",8111̂ 3〇,346,118,347,119,120,40
"宜昌市",,392,126,393,127,153,48
"襄阳市",,592,227,593,226,235,89
"鄂州市",丑211011,111,111,107,107,37,37
"荆门市",110211160,294,59,297,59,102,25
"孝感市",1̂3〇83〇,519,96,521,96,166,32
"荆州市",1̂0̂ 211011,642,108,644,108,200,39
"黄冈市",111131188^8,740,35,744,35,251,15
"咸宁市",5(130111112,304,62,304,62,90,20
"随州市",8111211011,250,53,251,53,89,22
"湖南省",111111311,,,,,,
"长沙市",011&11̂8113,709,340,702,334,233,120
"株洲市",21111211011,403,97,403,97,119,33
"湘潭市",X I&1121311,288,87,289,87,96,31
"衡阳市",11011̂ 3112,800,101,804,101,247,37
"邵阳市",81130)̂ 311̂,826,70,828,70,246,24
"岳阳市",,567,110,569,110,193,46
"常德市",011311̂ (16,606,140,608,141,210,47
"张家界市",211302)1̂ 16,170,53,170,53,62,21
"益阳市",,479,136,482,137,162,46
"郴州市",011611211011,534,78,534,78,174,30
"永州市",\̂011呂 2̂ 011,642,117,643,118,202,40
"怀化市",1111&111113,522,39,522,39,174,16
"娄底市",1̂011(11,454,61,453,55,158,25
"广东省",011311̂ (1011̂,,,,,,
"广州市",〇113!1̂211011,898,898,884,884,295,295
"韶关市",81130̂ 11311,335,92,335,92,104,30
"深圳市",811611211611,435,435,410,410,108,108
"珠海市",211111131,119,119,117,117,33,33
"仙头市",8113111011,565,558,562,555,127,125
"佛山市",?0811311,420,420,410,410,125,125
"江门市",11&11̂ 01611,396,143,395,142,119,45
"湛江市",211311)1311̂,839,166,837,165,206,45
"茂名市",1̂30011112,804,298,801,297,204,73
"肇庆市",21130̂ 111̂,446,141,445,140,123,42
"惠州市",1̂11211011,369,155,367,153,102,48
"梅州市",1̂ 61211011,550,97,551,97,146,30
"汕尾市",811311̂ 1,363,52,362,52,76,11
"河源市",116̂ 11311,373,32,309,49,101,9
"阳江市",3̂11^1&11̂,297,122,297,122,77,34
"清远市",1̂112X11311,437,144,434,143,112,37
"东莞市",0011̂ 1̂1311,211,,206,,61,
"中山市",2110112811311,170,,166,,47,
"潮州市",01130211011,276,168,275,168,65,40
"揭阳市",116̂ 311̂,703,210,700,210,157,48
"云浮市",丫1111负,300,68,301,68,79,17
"广西壮族自治区",011311̂ X1,,,,,,
"南宁市",1̂31111111̂,757,375,754,373,226,118
"柳州市",1̂ 11211011,387,180,386,179,114,55
"桂林市",〇1111111,534,130,534,130,163,41
"梧州市",,349,79,348,79,99,25
"北海市",6611131,175,67,175,67,45,19
"防城港市",?̂112〇11611883118,98,58,97,58,25,15
"钦州市",0̂ 11211011,411,151,410,150,98,34
"贵港市",0111̂ 311̂,556,201,555,201,157,60
"玉林市",^1X1111,724,112,721,111,208,31
"百色市",8 &180,418,36,417,36,112,10
"贺州市",116211011,244,120,243,120,65,32
"河池市",^60111,430,101,429,101,125,31
"来宾市",3̂11)111,268,113,268,113,78,31
"崇左市",011011呂 2110,250,37,250,37,71,11
"海南省",113111311,,,,,,
"海口市",I I &11̂ 011,171,171,169,169,59,59
"三亚市",8311^3,59,59,59,59,14,14
"三沙市",8咖 11玨,,,,,,
"儋州市",030211011,96,,95,,23,
"重庆市",011011̂ (1111̂,3390,2451,3391,2450,1261,943
"四川省",81〇1111311,,,,,,
"成都市",,1435,812,1417,793,551,317
"自贡市",2180118,324,149,326,150,108,53
"攀枝花市",,109,66,110,67,37,24
"泸州市",1-11211011,510,152,509,152,155,52
"德阳市",,388,94,390,95,157,37
