y,t,g,Q
0,0,0.40483385386328324,0.45834286530400015
0,0,0.25208406085610296,0.3403486831796264
0,0,0.2784982299154171,0.32439393693236873
0,1,0.34112851418507545,0.3790695495824569
1,1,0.16410877416097594,0.21781497306772113
0,0,0.34104478959199525,0.40575535576642885
0,0,0.29665265368401605,0.38439210175260863
1,0,0.36466978664653105,0.42611643973650076
0,0,0.28483882383577835,0.36751492574912153
1,0,0.3168896570579722,0.4004605000576251
0,1,0.423692022051316,0.45822122576778745
1,0,0.3513552346292662,0.42359463059187463
0,0,0.36786399639631234,0.42359463059187463
0,0,0.321121697132461,0.39681568274281115
1,0,0.2784982299154171,0.3403486831796264
0,1,0.1920415310833114,0.2814688444126068
0,0,0.30295404461122044,0.3650746463493988
0,1,0.19671506250466061,0.2765169001045433
1,0,0.31697600577779966,0.4004605000576251
0,1,0.3360705975331821,0.4100160308527382
1,0,0.2784982299154171,0.3403486831796264
0,1,0.294302641456268,0.37832873629724517
1,0,0.3896752328076127,0.4409687479479374
1,1,0.4413395267309307,0.43767106356983615
0,1,0.21408456049180163,0.31360564102263966
1,1,0.4021056860982903,0.45822122576778745
0,0,0.21928440635765864,0.2846016917433727
1,1,0.40483385386328324,0.44367849869653686
0,0,0.20431557597211636,0.30197580909943544
0,1,0.3360705975331821,0.4264803978098377
0,1,0.29665265368401605,0.3778792342427053
0,1,0.4524547311989088,0.4610526160525996
0,1,0.30653074395235697,0.3568079119162231
0,0,0.3669508162963695,0.4486656949726744
0,1,0.2274103984389026,0.26186652160769847
0,1,0.25208406085610296,0.32205967720409756
0,1,0.23459811267858716,0.28731144249197216
1,1,0.28483882383577835,0.3589925133983707
1,0,0.30295404461122044,0.3650746463493988
1,1,0.4021056860982903,0.42302068507299134
0,0,0.4021056860982903,0.4554171967301904
1,0,0.3896752328076127,0.4409687479479374
1,0,0.36466978664653105,0.42359463059187463
1,1,0.3896752328076127,0.40837030657614654
1,1,0.30653074395235697,0.3497687925887673
0,0,0.23459811267858716,0.320118508532543
0,0,0.36786399639631234,0.432597296667658
1,1,0.3989634312997931,0.43767106356983615
0,0,0.36466978664653105,0.43702979767399863
1,0,0.4447093901610725,0.4847179537238801
0,0,0.26508773719316603,0.3210124602807519
