y,t,g,Q
0,0,0.2813870506331778,0.44426529674287774
0,0,0.21487795835099827,0.3175325870143985
0,0,0.2736656868770951,0.3862408747967303
0,1,0.24503452352744187,0.4665361345722948
1,1,0.4656922067938146,0.33140073153665517
0,0,0.22310800691095395,0.2298975722679081
0,0,0.2986892825491449,0.430253671236927
1,0,0.2076252680473287,0.1337906136069891
0,0,0.5165496064776447,0.37476971794012715
1,0,0.26980372815862264,0.4252752107501991
0,1,0.49294430094924396,0.5308042599456532
1,0,0.6016780633232788,0.33255359065183865
0,0,0.39548091149991416,0.31364119314222916
0,0,0.5993155330639328,0.3851648421187316
1,0,0.517950403116737,0.398477224049964
0,1,0.20332055659616158,0.1654606541311759
0,0,0.21186236575952233,0.2272502527760911
0,1,0.24272040760073063,0.4685692298141319
1,0,0.2877989603928066,0.41876674759377797
0,1,0.5202498732929013,0.4252300789676135
1,0,0.2778025065099466,0.4026929124156983
0,1,0.2076252680473287,0.2640907068626165
1,0,0.246478763861168,0.46020785238711065
1,1,0.496673564469822,0.3753781347580619
0,1,0.5128063302163987,0.42963095708124466
1,1,0.5165496064776447,0.4252300789676135
0,0,0.23385197237924987,0.43610560529567083
1,1,0.473430310179052,0.3313525444020961
0,0,0.23938715219730164,0.3222099392816023
0,1,0.249525120812783,0.45421649262167196
0,1,0.39629015086717395,0.4182412035637004
0,1,0.21135302228368558,0.2564601206976633
0,1,0.2583184755303999,0.37531456412649544
0,0,0.03412907278021695,0.15198389854602798
0,1,0.5803102957521389,0.38436023322413854
0,1,0.2465215223684589,0.4140576531824982
0,1,0.2492987530993755,0.46258361191611974
1,1,0.21104425285544506,0.2965731366423479
1,0,0.23185406201536035,0.4165951817500447
1,1,0.5132799598358151,0.36899746242507564
0,0,0.041127477503070574,0.20024011501510672
1,0,0.3860943901378186,0.31148587550913454
1,0,0.24051673340330285,0.44186308991150375
1,1,0.23997827531306098,0.336125213898674
1,1,0.5233604536759966,0.3576070149205613
0,0,0.23385197237924987,0.3987016064189211
0,0,0.2441232104622236,0.4146403814821193
1,1,0.46086775377359207,0.4687730897938754
0,0,0.30194412179601954,0.38907786775854075
1,0,0.5183127082453715,0.4741925325821392
0,0,0.5142057861444331,0.3933256302791978
1,0,0.20332055659616158,0.26222015504327617
1,1,0.2871310112315107,0.40705971139913294
1,0,0.05993363833685666,0.4103609356816339
1,0,0.2856829934019294,0.4132120400941272
0,1,0.4752854545339659,0.4418907251891642
1,0,0.500120266653759,0.39066067452113
1,0,0.2819161578982642,0.42999139306927286
0,0,0.5197468153388276,0.45081025810141107
0,0,0.5269519446000386,0.3844301401985929
0,1,0.27784424823799103,0.40350847978569626
1,0,0.2087985992060415,0.28604776438758317
0,0,0.03799634147220262,0.31935919048393974
0,1,0.5939029285495062,0.39922972690856096
1,0,0.21450232383323173,0.23675161526120211
0,0,0.22597191126831057,0.4337748572263724
0,0,0.5993155330639328,0.3527231828978963
0,0,0.5992323224303804,0.4188723900882499
1,0,0.034172570940234986,0.1502635981489884
0,1,0.5203442160881379,0.3608479122220968
0,1,0.46966711814153556,0.3849218822732122
0,1,0.4667990776821089,0.3991199132169142
0,0,0.28684365490967156,0.4635667155056229
0,0,0.46086775377359207,0.7790670736807331
0,1,0.23938715219730164,0.3910232134838369
1,0,0.5233604536759966,0.4735794552539387
0,0,0.2514846788998187,0.43735618416701455
0,0,0.38865215743983433,0.41926577945598753
1,1,0.520380518394798,0.36097648365066826
0,0,0.2526720729199105,0.38642645450687524
0,0,0.2458128277362593,0.4711096676781921
0,0,0.49702166610414344,0.3679367282693681
0,0,0.31081274769690703,0.42966422163072654
0,0,0.21186236575952233,0.14976628164044536
0,0,0.2458128277362593,0.4009324035516273
0,0,0.517950403116737,0.43123218162612154
1,0,0.5204159371664573,0.3531369760013446
0,1,0.45367148987323797,0.392144003221408
0,0,0.523729596256768,0.364606052902033
0,0,0.02967008540049707,0.19637501336197916
0,1,0.4936386219549188,0.4115839464428282
1,1,0.2558015022909933,0.4662552723018681
0,1,0.2855016926190787,0.3913291589189826
1,0,0.3958580301372417,0.3105293946152293
0,0,0.2866041705674898,0.46439693480386846
0,1,0.27601330753867365,0.46258361191611974
0,0,0.3451998974983042,0.35215091846678087
1,0,0.24932224673445805,0.39578463416900794
1,0,0.27503632048817506,0.44422017485317994
0,0,0.2454186014070895,0.41703560513843835
1,1,0.4493576281367024,0.3832464474803694
0,1,0.5178796112885115,0.42579340320429354
0,0,0.2712733334248872,0.37993875010994876
0,0,0.03660741309568485,0.34749565178283864
0,0,0.22861451114734624,0.43360827631564436
0,1,0.4874376732350631,0.37881269764294195
1,1,0.5134716991311978,0.39512982061350116
0,1,0.2829553116770969,0.4269372360027246
0,0,0.2441232104622236,0.31758977016227585
0,0,0.2087985992060415,0.3090648770912256
0,0,0.35749717273030357,0.3822455259455616
1,1,0.23481328487322384,0.34727478049206756
0,0,0.21313219850529808,0.24908556053833114
0,0,0.24740184513576405,0.33823723626222074
0,1,0.22597191126831057,0.4412086021815685
0,0,0.49830936397698705,0.5433684581700827
0,0,0.5274680467225246,0.3935565554585233
1,0,0.3562065533436487,0.35104870900629126
0,1,0.49810967361978137,0.426325136505709
1,1,0.2813870506331778,0.40637199498849474
0,1,0.3566460374706329,0.3567706394767656
0,0,0.2782566252595819,0.4360506881318696
0,1,0.5080483835798834,0.39113566851680037
1,0,0.23166738682751933,0.44681491445796906
1,1,0.600768467346565,0.31333975707092926
1,0,0.03621512883642172,0.14998357938726234
1,0,0.2828601479995164,0.37394138311283537
1,0,0.23326510150278695,0.3986950491780558
1,1,0.26412206206716865,0.38009969197844456
0,1,0.23423804498887704,0.4366988433441528
1,1,0.27321715868411567,0.4074202757210018
0,0,0.5129482576281937,0.3709195026849508
1,0,0.2558015022909933,0.3914052811321913
0,0,0.2508776804433892,0.47242871838071765
1,1,0.5059582299649171,0.4426203311800756
0,0,0.5235825724472443,0.32921544837070205
0,1,0.3829927704271663,0.3574392883899313
0,0,0.2573340919160847,0.4454787377839729
0,0,0.5209585485963559,0.4150402422466013
1,1,0.24953943345125004,0.39744111531719517
0,0,0.2812853425586437,0.4183543888747175
0,0,0.048339584804483554,0.45100107440301634
0,1,0.47842180100681436,0.35832612772740524
1,1,0.518435822602543,0.4256967142522868
0,0,0.5993155330639328,0.3527231828978963
0,0,0.2321539680622752,0.47022620391748376
1,0,0.2460036384654031,0.3940895865523568
1,0,0.24387979409055802,0.39738953616199807
1,0,0.2895754037718077,0.38681761570567996
0,1,0.23558480757000483,0.4220365313740051
0,0,0.04066698764192747,0.3187888910239496
1,0,0.28686024979461255,0.4215986049517584
0,0,0.20332055659616158,0.29194757115663994
0,0,0.20332055659616158,0.23675161526120211
1,1,0.256694873548008,0.39557852953309125
1,1,0.25183512882842574,0.40655507050095974
0,0,0.25693268544594694,0.4471453696189239
0,0,0.04980675236357706,0.2979677272531756
0,0,0.28632583264752115,0.4639968622261516
1,0,0.2321539680622752,0.4009324035516273
1,0,0.5032150752163935,0.3650605400815202
1,0,0.25063650503820745,0.435785101421268
0,1,0.23166738682751933,0.4200081543086343
0,0,0.27321715868411567,0.46439693480386846
1,0,0.46966711814153556,0.35459061004758263
1,0,0.2436400171039902,0.4478270688811047
1,0,0.2458128277362593,0.4753237809000651
0,0,0.2743496715848284,0.45358815007385606
0,0,0.28686687055282206,0.46020785238711065
0,0,0.24586871361344964,0.4338528133989841
1,1,0.4395533045552105,0.35790021678865797
0,0,0.2570373583649705,0.3914905692355611
0,1,0.23938715219730164,0.4277411489909975
0,0,0.2619519589609364,0.430253671236927
1,0,0.5140707126002261,0.3650605400815202
0,0,0.2554331912184995,0.43948424758451005
0,0,0.22649874344718565,0.24223746445002137
0,1,0.5264152493365498,0.4325649756146633
0,0,0.2561113963205465,0.4341218301144422
0,1,0.5140707126002261,0.359600790542586
1,1,0.23938715219730164,0.38003418588712856
0,0,0.2321539680622752,0.3998635788231279
0,0,0.20361841377846485,0.41832402882184666
0,0,0.27793662973121414,0.45509440999751344
0,0,0.24665010202008714,0.33779789598688564
1,1,0.24572165123845133,0.43296467159391594
1,0,0.2662876945016343,0.3715831642677712
1,0,0.24330374907218602,0.42495804543316734
1,0,0.2570181268293958,0.37818098319738513
1,1,0.4551703615998527,0.4570990230110891
0,0,0.25747908365124533,0.4197088863741995
0,0,0.5285154570566987,0.3948795622819265
1,0,0.27741094830917745,0.443839028657798
0,0,0.27741094830917745,0.4444599211797615
0,0,0.21574768725701451,0.1642167268899545
1,0,0.25771539045495057,0.33878888128955964
0,0,0.20895950009159756,0.15235316460679965
1,0,0.2467443674857098,0.3869074531040539
0,0,0.2843245831180755,0.3926429226529006
0,0,0.4632363455103415,0.34734582063977476
1,1,0.24370521712259294,0.4019230054701602
0,1,0.24953943345125004,0.4213296708566718
1,0,0.35619404353936296,0.3902630076081567
1,0,0.2456092278791645,0.4196191164685665
0,0,0.36199325505829916,0.38187323294420333
0,0,0.496673564469822,0.3811883556807842
1,0,0.2405974311944675,0.4102444915678812
0,1,0.23145649827035128,0.43146591497834785
1,0,0.03510438976600396,0.2597695390257451
0,0,0.23954770265601727,0.4341218301144422
1,1,0.5031193320078082,0.3311820214060062
0,0,0.22529031288753743,0.445425343254728
0,1,0.34116976640983987,0.4109769512667482
1,0,0.3005326868121841,0.3337351651372502
1,1,0.5350625516276613,0.38872733805612053
0,0,0.30199186552771784,0.31758977016227585
0,0,0.24953943345125004,0.40101749697308786
0,1,0.23423804498887704,0.39557852953309125
0,1,0.5235825724472443,0.3668722380730487
0,0,0.5197468153388276,0.4506158136569666
1,0,0.24662388493482743,0.4416147542442062
1,0,0.5095575055873565,0.3859024603249525
0,0,0.2951355663712094,0.38907786775854075
0,0,0.3861657379844196,0.38663791033199285
1,0,0.31081274769690703,0.3832167493487744
1,0,0.5233604536759966,0.3651398701711871
0,1,0.32789742779076614,0.3757604070713614
0,1,0.4447381375034662,0.43484070212747716
0,0,0.26523630561274547,0.446963157534386
1,1,0.31034941367202873,0.31095988673913544
1,1,0.23145649827035128,0.3350794135755825
1,0,0.27321715868411567,0.38627437018052213
0,0,0.2554331912184995,0.4396468952247462
1,0,0.29545258361522714,0.43427671541411417
0,0,0.5110048941008326,0.4707075435278598
0,1,0.5003717379407656,0.49770084051103775
0,0,0.25693268544594694,0.4165951817500447
0,0,0.25942862475989253,0.422881905688901
0,0,0.23541021404641746,0.4658480704187113
1,0,0.2621994307086132,0.4160868743878471
0,0,0.24780543725538803,0.3041651200737472
1,0,0.07356489567653744,0.3124124277120535
0,0,0.21487795835099827,0.26222015504327617
1,0,0.5145661757548228,0.31188549905121205
1,0,0.5090832905283995,0.38640411289982474
1,0,0.5197468153388276,0.3619452796746665
1,0,0.26412206206716865,0.38801071223847844
0,0,0.27741094830917745,0.4102444915678812
0,0,0.2819161578982642,0.42476356690555994
0,1,0.4879357760882025,0.6877022072226773
1,0,0.2500223419967496,0.462840343388038
0,0,0.034172570940234986,0.14998357938726234
1,0,0.27741094830917745,0.4000683512264402
0,0,0.2471744913207591,0.42176795541678
0,0,0.2579133166220629,0.4073122486139318
