y,t,g,Q
0,0,0.24411971581454595,0.308962067723569
0,0,0.3954538927966036,0.3195588899303753
0,0,0.3994617310606341,0.315743954081092
0,1,0.3020312052518266,0.2769275726790887
1,1,0.3630482041033172,0.5875719365987708
0,0,0.17294748266813012,0.453780778343082
0,0,0.33037817772808836,0.3375592391505529
1,0,0.14564204301046996,0.3085159533921924
0,0,0.44782759420624196,0.32377897075217044
1,0,0.271676278854577,0.556410959511846
0,1,0.33349533847715174,0.4077090415090337
1,0,0.38691777102885744,0.25815825452312496
0,0,0.36540769009518564,0.2432158618249678
0,0,0.34825634168525693,0.2475491355939919
1,0,0.4168201572421462,0.262274727853795
0,1,0.25347342157836195,0.31194107977929103
0,0,0.2875327158975423,0.34712203574991635
0,1,0.3903352657248458,0.3987498607369841
1,0,0.30559645196625296,0.4728140876347776
0,1,0.4345168830683314,0.48317135452260895
1,0,0.33706073999933034,0.23381299381030057
0,1,0.11237847902098119,0.4221077902055265
1,0,0.3920700562450263,0.2263495205160804
1,1,0.41728193747139103,0.3701374772517159
0,1,0.36656246233204215,0.36922304179121734
1,1,0.412292947535763,0.5371236098664688
0,0,0.3329558807570499,0.26494937335783453
1,1,0.4899350438455673,0.44744041187859307
0,0,0.3265066767869729,0.28915589324849433
0,1,0.23243770240777575,0.35081397685848387
0,1,0.3264588811173493,0.3840467248971584
0,1,0.2104311537332101,0.33579982702984384
0,1,0.2560097795359841,0.2878597634796968
0,0,0.21876900648169859,0.2513767759233394
0,1,0.42825994063413897,0.5251196674956294
0,1,0.18416458925998347,0.5323671428695187
0,1,0.37982116182794545,0.24857069367348375
1,1,0.19221958488764976,0.4594369207729961
1,0,0.174860376434377,0.5502092321576364
1,1,0.45816828374409957,0.5459366014297422
0,0,0.16534225284191384,0.3400949775041617
1,0,0.3616857702059469,0.2542383705945744
1,0,0.1466796304412185,0.4300902860278923
1,1,0.11738573484584919,0.41865962149381813
1,1,0.404655703716921,0.5354862541720918
0,0,0.2982225801716926,0.33914637836467393
0,0,0.29829194446119645,0.37758586314117637
1,1,0.39319218911722215,0.47514537347039015
0,0,0.3614847156778158,0.254608965504931
1,0,0.40904088470545774,0.5151273288361806
0,0,0.42197209653079437,0.2943846901590808
1,0,0.3876641012958182,0.25968892943273136
1,1,0.31342579939635595,0.48195874154536317
1,0,0.4385650439662745,0.33712126861267877
1,0,0.25986447022419334,0.5015855474406297
0,1,0.38439142889615163,0.7366394823366743
1,0,0.3214238243596212,0.3317435768202658
1,0,0.21429129134464087,0.4012705211276098
0,0,0.4130660368540689,0.2915493907266427
0,0,0.35975462799726193,0.37024610623083476
0,1,0.25510249542411384,0.3452919660030272
1,0,0.20037961984154445,0.31978633712289656
0,0,0.27937017724077345,0.3801855234728403
0,1,0.419219611846871,0.28191797665617724
1,0,0.17290107380509837,0.34999917274713715
0,0,0.16112574866812468,0.3962517973434434
0,0,0.4095252551319863,0.3843947795645432
0,0,0.3993204983121014,0.3594266885359984
1,0,0.16852979158475398,0.29859537935339037
0,1,0.4332358359337366,0.43425265950957553
0,1,0.4318146755605814,0.25991045471706026
0,1,0.2994944416909162,0.5243905126292883
0,0,0.37708897109755846,0.29460009269281257
0,0,0.43927143956405534,0.3615526013677437
0,1,0.37423936068540375,0.47360817219628215
1,0,0.41544985770062737,0.47949694110722835
0,0,0.24428642318781268,0.3520058573830163
0,0,0.358738740983071,0.332333004065453
1,1,0.491831147975373,0.43867391882763984
0,0,0.2026109087946926,0.37729907782148386
0,0,0.3208031092205843,0.3531336508138542
0,0,0.3320055327353782,0.3835001333150859
0,0,0.39689833492180815,0.35687926535820386
