y,t,g,Q
0,0,0.2984359127010109,0.2331706478603166
0,0,0.31320313418472784,0.24507366405705983
0,0,0.3112581443115362,0.3235010205818345
0,1,0.29331754221805983,0.2989400533515659
1,1,0.3445980406059283,0.5169515013687719
0,0,0.2925756444833667,0.2946699841105297
0,0,0.3011526444832566,0.29391108523567605
1,0,0.31588570367550317,0.29028744487235203
0,0,0.321312622989494,0.3933258730977597
1,0,0.3403913299274257,0.6268161758711118
0,1,0.2946263733817448,0.3215182520965306
1,0,0.30766596300906635,0.29715030445398044
0,0,0.2982131279021148,0.3110945885833687
0,0,0.3001514338917827,0.27187373336438947
1,0,0.3101712893903748,0.32606460026624456
0,1,0.29623505043822823,0.25909854760238643
0,0,0.2940900977202567,0.2991631326515123
0,1,0.3203107505533909,0.347520909244914
1,0,0.32694684172026894,0.42131130261346783
0,1,0.33645964028284525,0.45339988415595334
1,0,0.29968526766737447,0.2667472948736022
0,1,0.3219724505882537,0.4019124550777746
1,0,0.31746230439095396,0.29715030445398044
1,1,0.3413231288504988,0.6793594974841546
0,1,0.31814275097791034,0.3292006772650407
1,1,0.3877635439398293,0.5366261568148123
0,0,0.27829726214326816,0.24014278992501073
1,1,0.33146636543790026,0.4369769306266921
0,0,0.3070446912703736,0.3410337868611729
0,1,0.3138477621757816,0.3722055685728907
0,1,0.3200310360937255,0.3778560366656044
0,1,0.29284244772535134,0.2876910652414765
0,1,0.30362729880247763,0.2675948910550051
0,0,0.33858721941311654,0.4728475714522228
0,1,0.3422904897080453,0.4967895067881851
0,1,0.3302736930518071,0.5062882252698279
0,1,0.3063682774649601,0.3266530356030025
1,1,0.3336476214857868,0.44183756447666855
1,0,0.36674146726920404,0.5017292460408095
1,1,0.43026513786318105,0.6797512785800687
0,0,0.2951022697083121,0.314186091723112
1,0,0.3140476522694675,0.23932253791739966
1,0,0.32649137069581174,0.4484867998582237
1,1,0.3299266748053847,0.5007073177473261
1,1,0.3283657277475125,0.41960863089310796
0,0,0.3189274722376032,0.3877006925012363
0,0,0.27421469772685114,0.2753452244117767
1,1,0.3183731340994881,0.36319215308147795
0,0,0.31523204831958607,0.2770137515761749
1,0,0.43894199029324693,0.7165452772268901
0,0,0.3093575206217111,0.3215017306206567
1,0,0.3088722309175021,0.30043131248442473
1,1,0.3235122278843614,0.42016393366012617
1,0,0.3941420690162216,0.5978356051649185
1,0,0.3426972285809818,0.5097201035011564
0,1,0.39073843851982354,0.6197031673720136
1,0,0.2962970662015205,0.31039600400396866
1,0,0.31617920113428466,0.35800468778535965
0,0,0.3064976743015397,0.34431607884859605
0,0,0.31542564789073946,0.2828436040499842
0,1,0.3137116057875334,0.3692101362122357
1,0,0.30044921008647124,0.31273509259859084
0,0,0.33873570878496484,0.4447956658239739
0,1,0.3169294677415076,0.3832807373582908
1,0,0.320725750571858,0.3682518829592574
0,0,0.3179725663903419,0.3115192911392143
0,0,0.3226557167849086,0.3856562420654266
0,0,0.3155578163087898,0.3672142253852095
1,0,0.3320668956186334,0.4459590833624376
0,1,0.33446027698171504,0.44896352281467616
0,1,0.3128698324625755,0.32910719773695146
0,1,0.3338717599299289,0.4794812390527685
0,0,0.31261107292179224,0.3416107684370988
0,0,0.31227896364056196,0.32911745625806266
0,1,0.33361844654448825,0.4532447385906382
1,0,0.33299884139192,0.4475595886058772
0,0,0.3118221231934181,0.3570287010095889
0,0,0.3112545028651044,0.34448705092836723
1,1,0.35160862074604016,0.4957671534499112
0,0,0.34264031180057636,0.43695302124164415
0,0,0.3351495818021272,0.44582453995024873
0,0,0.3208967153998154,0.3709943506306561
0,0,0.30445671033412364,0.31055633976744784
0,0,0.3141855982709546,0.3721696939183984
0,0,0.3401496547141839,0.4425694569178724
0,0,0.30759840766081004,0.30328185214741293
1,0,0.3393567337914588,0.42796672415967907
0,1,0.3023083007240848,0.35742447603329286
0,0,0.323418675378756,0.3994507537327828
0,0,0.3337789238788556,0.575504082697815
0,1,0.29833311812426216,0.33144138460585615
1,1,0.3232952543025854,0.39531820294643394
0,1,0.3085510765803038,0.33925581260568527
1,0,0.3341284371556164,0.43003112968697454
0,0,0.3233146518648242,0.4058628681670108
0,1,0.30329209546176084,0.2655442610359774
0,0,0.2825973284675342,0.26471566050397927
1,0,0.39785780720451963,0.6046972334383265
1,0,0.3325058977445146,0.4447956658239739
0,0,0.31268390395913037,0.370172340173594
1,1,0.313063978653606,0.3221416495611416
0,1,0.32738718853649107,0.41210684887521176
0,0,0.31702577026792805,0.36294779656807985
0,0,0.34729513417920105,0.7682827167511358
0,0,0.32162245010559837,0.38790281633591783
0,1,0.32099443116647497,0.35849077993050876
1,1,0.3180059917256336,0.4060950855862302
0,1,0.29686290887177313,0.2627449308873446
0,0,0.3527393616375821,0.48908927423497195
0,0,0.27988973061345285,0.2897497716027331
0,0,0.3275521242979905,0.4771670276233765
1,1,0.28148775734821346,0.2840664294000441
0,0,0.32376135970668074,0.4029628134358091
0,0,0.3191405208475543,0.3521694760968773
0,1,0.3254816053115623,0.4609452522572963
0,0,0.3418243590118171,0.4530013064335718
0,0,0.3198228789970266,0.3488789484941839
1,0,0.31712237317548403,0.2984142745613485
0,1,0.3178996450161388,0.3259996667781615
1,1,0.30413812673505214,0.29911117868837633
0,1,0.3278978671549629,0.49763929867532064
0,0,0.30381973088462266,0.2849987734559537
0,1,0.3085721616155213,0.3336251776676966
1,0,0.28470040045885875,0.28166826076224194
1,1,0.30989990222062336,0.3057366094089201
1,0,0.3594429870268513,0.49621494800644084
1,0,0.31843460897802056,0.31863344299577
1,0,0.31932434364759166,0.3721767964424789
1,1,0.31256071294676674,0.354541603861779
0,1,0.3173426148743794,0.3954483897465252
1,1,0.328225844898588,0.4452597167108594
0,0,0.33704015665196857,0.4391642613197091
1,0,0.3202375447340673,0.34634119233182914
0,0,0.3149732573113875,0.37452038049388303
1,1,0.3344023543448685,0.593172741055333
0,0,0.3358226527427583,0.46407158800283416
0,1,0.3176852365925286,0.393173595097476
0,0,0.3303974430517832,0.4324918857098078
0,0,0.31638042351002144,0.3496464329410892
1,1,0.3136703836411116,0.37177411674053396
0,0,0.30369242515761413,0.3067151271831928
0,0,0.32977800937194646,0.49161966182359873
0,1,0.36261691081596314,0.5414474969499006
1,1,0.32099435890637756,0.3826575523959232
0,0,0.31706680857741676,0.35532748941379433
0,0,0.36363631780669037,0.5143862317352158
1,0,0.33990293534087884,0.4294644403400066
1,0,0.324055922455014,0.416509786883149
1,0,0.32417869810179417,0.4066242685900119
0,1,0.3629321733077269,0.5224482615487209
0,0,0.3499448050915345,0.4648918400104452
1,0,0.3514270107909973,0.5583907130540937
0,0,0.3042655376557461,0.270902240210426
0,0,0.3212111062507067,0.3933258730977597
1,1,0.30645122968150984,0.3144760290253964
1,1,0.31563045388810096,0.3698535104484064
0,0,0.3301168277343141,0.44347385337476414
0,0,0.31850352321714476,0.3880435796188132
0,0,0.32147365518888954,0.37999575722269896
1,0,0.3754085943536228,0.5245694177908041
1,0,0.3337459077630297,0.4340525152118242
1,0,0.29785332382164703,0.3278984300801054
